Sets_Ops/sec,Sets_Hits/sec,Sets_Misses/sec,Sets_Avg_Latency,Sets_p50_Latency,Sets_p99_Latency,Sets_p100_Latency,Sets_KB/sec,Gets_Ops/sec,Gets_Hits/sec,Gets_Misses/sec,Gets_Avg_Latency,Gets_p50_Latency,Gets_p99_Latency,Gets_p100_Latency,Gets_KB/sec,Waits_Ops/sec,Waits_Hits/sec,Waits_Misses/sec,Waits_Avg_Latency,Waits_p50_Latency,Waits_p99_Latency,Waits_p100_Latency,Waits_KB/sec,Totals_Ops/sec,Totals_Hits/sec,Totals_Misses/sec,Totals_Avg_Latency,Totals_p50_Latency,Totals_p99_Latency,Totals_p100_Latency,Totals_KB/sec
23972.77,,,0.042,1872.87,23972.77,0,23972.77,0.038,842.79,0,,,0,,47945.53,0,23972.77,0.04,2715.67,,,,,,,,,,,,
24404.77,,,0.042,1906.62,24404.77,0,24404.77,0.035,857.98,0,,,0,,48809.54,0,24404.77,0.038,2764.6,,,,,,,,,,,,
20.94,,,63.062,1.64,20.94,0,20.94,32.402,0.74,0,,,0,,41.89,0,20.94,47.732,2.37,,,,,,,,,,,,
23474.95,,,0.045,1833.98,23474.95,0,23474.95,0.037,825.29,0,,,0,,46949.9,0,23474.95,0.041,2659.27,,,,,,,,,,,,
21.01,,,58.191,1.64,21.01,0,21.01,37.168,0.74,0,,,0,,42.02,0,21.01,47.68,2.38,,,,,,,,,,,,
23907.83,,,0.044,1867.8,23907.83,0,23907.83,0.037,840.51,0,,,0,,47815.66,0,23907.83,0.04,2708.31,,,,,,,,,,,,
28.53,,,44.116,2.23,28.53,0,28.53,26.206,1,0,,,0,,57.06,0,28.53,35.161,3.23,,,,,,,,,,,,
24887.51,,,0.041,1944.34,24887.51,0,24887.51,0.035,874.95,0,,,0,,49775.02,0,24887.51,0.038,2819.29,,,,,,,,,,,,
23532.4,,,0.044,1838.47,23532.4,0,23532.4,0.037,827.31,0,,,0,,47064.8,0,23532.4,0.041,2665.78,,,,,,,,,,,,
20703.12,,,0.051,1617.43,20703.12,0,20703.12,0.043,727.84,0,,,0,,41406.24,0,20703.12,0.047,2345.28,,,,,,,,,,,,
19.37,,,65.715,1.51,19.37,0,19.37,37.672,0.68,0,,,0,,38.74,0,19.37,51.693,2.19,,,,,,,,,,,,
24136.46,,,0.043,1885.66,24136.46,0,24136.46,0.037,848.55,0,,,0,,48272.92,0,24136.46,0.04,2734.21,,,,,,,,,,,,
22739.62,,,0.045,1776.53,22739.62,0,22739.62,0.038,799.44,0,,,0,,45479.25,0,22739.62,0.042,2575.97,,,,,,,,,,,,
20.03,,,60.213,1.56,20.03,0,20.03,39.865,0.7,0,,,0,,40.06,0,20.03,50.039,2.27,,,,,,,,,,,,
25826.18,,,0.04,2017.67,25826.18,0,25826.18,0.034,907.95,0,,,0,,51652.36,0,25826.18,0.037,2925.62,,,,,,,,,,,,
23158.28,,,0.045,1809.24,23158.28,0,23158.28,0.038,814.16,0,,,0,,46316.56,0,23158.28,0.042,2623.4,,,,,,,,,,,,
21820.53,,,0.048,1704.73,21820.53,0,21820.53,0.041,767.13,0,,,0,,43641.06,0,21820.53,0.044,2471.86,,,,,,,,,,,,
23762.17,,,0.045,1856.42,23762.17,0,23762.17,0.038,835.39,0,,,0,,47524.34,0,23762.17,0.041,2691.81,,,,,,,,,,,,
20078.27,,,0.051,1568.61,20078.27,0,20078.27,0.045,705.88,0,,,0,,40156.53,0,20078.27,0.048,2274.49,,,,,,,,,,,,
25.33,,,47.666,1.98,25.33,0,25.33,31.246,0.89,0,,,0,,50.65,0,25.33,39.456,2.87,,,,,,,,,,,,
23161.34,,,0.045,1809.48,23161.34,0,23161.34,0.037,814.27,0,,,0,,46322.67,0,23161.34,0.041,2623.75,,,,,,,,,,,,
22335.19,,,0.046,1744.94,22335.19,0,22335.19,0.04,785.22,0,,,0,,44670.38,0,22335.19,0.043,2530.16,,,,,,,,,,,,
21633.46,,,0.045,1690.11,21633.46,0,21633.46,0.041,760.55,0,,,0,,43266.91,0,21633.46,0.043,2450.66,,,,,,,,,,,,
25078.43,,,0.042,1959.25,25078.43,0,25078.43,0.035,881.66,0,,,0,,50156.87,0,25078.43,0.039,2840.92,,,,,,,,,,,,
22704,,,0.047,1773.75,22704,0,22704,0.039,798.19,0,,,0,,45408,0,22704,0.043,2571.94,,,,,,,,,,,,
30.54,,,41.136,2.39,30.54,0,30.54,24.237,1.07,0,,,0,,61.07,0,30.54,32.687,3.46,,,,,,,,,,,,
