Sets_Ops/sec,Sets_Hits/sec,Sets_Misses/sec,Sets_Avg_Latency,Sets_p50_Latency,Sets_p99_Latency,Sets_p100_Latency,Sets_KB/sec,Gets_Ops/sec,Gets_Hits/sec,Gets_Misses/sec,Gets_Avg_Latency,Gets_p50_Latency,Gets_p99_Latency,Gets_p100_Latency,Gets_KB/sec,Waits_Ops/sec,Waits_Hits/sec,Waits_Misses/sec,Waits_Avg_Latency,Waits_p50_Latency,Waits_p99_Latency,Waits_p100_Latency,Waits_KB/sec,Totals_Ops/sec,Totals_Hits/sec,Totals_Misses/sec,Totals_Avg_Latency,Totals_p50_Latency,Totals_p99_Latency,Totals_p100_Latency,Totals_KB/sec,,,,,,,
51111.81,,,0.038,3993.11,0,0,0,0,0,0,,,0,,51111.81,0,0,0.038,3993.11,,,,,,,,,,,,,,,,,,,
45144.89,,,0.042,3526.94,0,0,0,0,0,0,,,0,,45144.89,0,0,0.042,3526.94,,,,,,,,,,,,,,,,,,,
17.56,,,113.914,1.37,0,0,0,0,0,0,,,0,,17.56,0,0,113.914,1.37,,,,,,,,,,,,,,,,,,,
41590.07,,,0.046,3249.22,0,0,0,0,0,0,,,0,,41590.07,0,0,0.046,3249.22,,,,,,,,,,,,,,,,,,,
18.59,,,107.57,1.45,0,0,0,0,0,0,,,0,,18.59,0,0,107.57,1.45,,,,,,,,,,,,,,,,,,,
33782.19,,,0.055,2639.23,0,0,0,0,0,0,,,0,,33782.19,0,0,0.055,2639.23,,,,,,,,,,,,,,,,,,,
36.87,,,54.247,2.88,0,0,0,0,0,0,,,0,,36.87,0,0,54.247,2.88,,,,,,,,,,,,,,,,,,,
41257.53,,,0.047,3223.24,0,0,0,0,0,0,,,0,,41257.53,0,0,0.047,3223.24,,,,,,,,,,,,,,,,,,,
32934.44,,,0.057,2573,0,0,0,0,0,0,,,0,,32934.44,0,0,0.057,2573,,,,,,,,,,,,,,,,,,,
34924.13,,,0.055,2728.45,0,0,0,0,0,0,,,0,,34924.13,0,0,0.055,2728.45,,,,,,,,,,,,,,,,,,,
22.69,,,88.156,1.77,0,0,0,0,0,0,,,0,,22.69,0,0,88.156,1.77,,,,,,,,,,,,,,,,,,,
43590.08,,,0.044,3405.47,0,0,0,0,0,0,,,0,,43590.08,0,0,0.044,3405.47,,,,,,,,,,,,,,,,,,,
34610.82,,,0.057,2703.97,0,0,0,0,0,0,,,0,,34610.82,0,0,0.057,2703.97,,,,,,,,,,,,,,,,,,,
22.45,,,89.066,1.75,0,0,0,0,0,0,,,0,,22.45,0,0,89.066,1.75,,,,,,,,,,,,,,,,,,,
35613.8,,,0.056,2782.33,0,0,0,0,0,0,,,0,,35613.8,0,0,0.056,2782.33,,,,,,,,,,,,,,,,,,,
37566.59,,,0.051,2934.89,0,0,0,0,0,0,,,0,,37566.59,0,0,0.051,2934.89,,,,,,,,,,,,,,,,,,,
35652.02,,,0.054,2785.31,0,0,0,0,0,0,,,0,,35652.02,0,0,0.054,2785.31,,,,,,,,,,,,,,,,,,,
32370.95,,,0.06,2528.98,0,0,0,0,0,0,,,0,,32370.95,0,0,0.06,2528.98,,,,,,,,,,,,,,,,,,,
37170.51,,,0.052,2903.95,0,0,0,0,0,0,,,0,,37170.51,0,0,0.052,2903.95,,,,,,,,,,,,,,,,,,,
28.18,,,70.734,2.2,0,0,0,0,0,0,,,0,,28.18,0,0,70.734,2.2,,,,,,,,,,,,,,,,,,,
26155.31,,,0.07,2043.38,0,0,0,0,0,0,,,0,,26155.31,0,0,0.07,2043.38,,,,,,,,,,,,,,,,,,,
29626.69,,,0.068,2314.59,0,0,0,0,0,0,,,0,,29626.69,0,0,0.068,2314.59,,,,,,,,,,,,,,,,,,,
36690.72,,,0.053,2866.46,0,0,0,0,0,0,,,0,,36690.72,0,0,0.053,2866.46,,,,,,,,,,,,,,,,,,,
40130.34,,,0.048,3135.18,0,0,0,0,0,0,,,0,,40130.34,0,0,0.048,3135.18,,,,,,,,,,,,,,,,,,,
29802.75,,,0.064,2328.34,0,0,0,0,0,0,,,0,,29802.75,0,0,0.064,2328.34,,,,,,,,,,,,,,,,,,,
38.45,,,52.016,3,0,0,0,0,0,0,,,0,,38.45,0,0,52.016,3,,,,,,,,,,,,,,,,,,,
36934.3,,,0.052,2885.49,0,0,0,0,0,0,,,0,,36934.3,0,0,0.052,2885.49,,,,,,,,,,,,,,,,,,,
32295.46,,,0.056,2523.08,0,0,0,0,0,0,,,0,,32295.46,0,0,0.056,2523.08,,,,,,,,,,,,,,,,,,,
41550.76,,,0.047,3246.15,0,0,0,0,0,0,,,0,,41550.76,0,0,0.047,3246.15,,,,,,,,,,,,,,,,,,,
28.47,,,70.18,2.22,0,0,0,0,0,0,,,0,,28.47,0,0,70.18,2.22,,,,,,,,,,,,,,,,,,,
56.05,,,35.757,4.38,0,0,0,0,0,0,,,0,,56.05,0,0,35.757,4.38,,,,,,,,,,,,,,,,,,,
39622.79,,,0.049,3095.53,0,0,0,0,0,0,,,0,,39622.79,0,0,0.049,3095.53,,,,,,,,,,,,,,,,,,,
30.69,,,65.119,2.4,0,0,0,0,0,0,,,0,,30.69,0,0,65.119,2.4,,,,,,,,,,,,,,,,,,,
38252.47,,,0.051,2988.47,0,0,0,0,0,0,,,0,,38252.47,0,0,0.051,2988.47,,,,,,,,,,,,,,,,,,,
44269.82,,,0.044,3458.58,0,0,0,0,0,0,,,0,,44269.82,0,0,0.044,3458.58,,,,,,,,,,,,,,,,,,,
37,,,54.053,2.89,0,0,0,0,0,0,,,0,,37,0,0,54.053,2.89,,,,,,,,,,,,,,,,,,,
19.32,,,103.537,1.51,0,0,0,0,0,0,,,0,,19.32,0,0,103.537,1.51,,,,,,,,,,,,,,,,,,,
40796.76,,,0.047,3187.25,0,0,0,0,0,0,,,0,,40796.76,0,0,0.047,3187.25,,,,,,,,,,,,,,,,,,,
36070.22,,,0.054,2817.99,0,0,0,0,0,0,,,0,,36070.22,0,0,0.054,2817.99,,,,,,,,,,,,,,,,,,,
43667.07,,,0.044,3411.49,0,0,0,0,0,0,,,0,,43667.07,0,0,0.044,3411.49,,,,,,,,,,,,,,,,,,,
39843.97,,,0.048,3112.81,0,0,0,0,0,0,,,0,,39843.97,0,0,0.048,3112.81,,,,,,,,,,,,,,,,,,,
18.47,,,108.258,1.44,0,0,0,0,0,0,,,0,,18.47,0,0,108.258,1.44,,,,,,,,,,,,,,,,,,,
31534.1,,,0.06,2463.6,0,0,0,0,0,0,,,0,,31534.1,0,0,0.06,2463.6,,,,,,,,,,,,,,,,,,,
17.92,,,111.576,1.4,0,0,0,0,0,0,,,0,,17.92,0,0,111.576,1.4,,,,,,,,,,,,,,,,,,,
16.88,,,118.145,1.32,0,0,0,0,0,0,,,0,,16.88,0,0,118.145,1.32,,,,,,,,,,,,,,,,,,,
25.66,,,77.959,2,0,0,0,0,0,0,,,0,,25.66,0,0,77.959,2,,,,,,,,,,,,,,,,,,,
36709.84,,,0.052,2867.96,0,0,0,0,0,0,,,0,,36709.84,0,0,0.052,2867.96,,,,,,,,,,,,,,,,,,,
39949.66,,,0.048,3121.07,0,0,0,0,0,0,,,0,,39949.66,0,0,0.048,3121.07,,,,,,,,,,,,,,,,,,,
36973.57,,,0.052,2888.56,0,0,0,0,0,0,,,0,,36973.57,0,0,0.052,2888.56,,,,,,,,,,,,,,,,,,,
36252.44,,,0.053,2832.22,0,0,0,0,0,0,,,0,,36252.44,0,0,0.053,2832.22,,,,,,,,,,,,,,,,,,,
40651.48,,,0.047,3175.9,0,0,0,0,0,0,,,0,,40651.48,0,0,0.047,3175.9,,,,,,,,,,,,,,,,,,,
46240.85,,,0.042,3612.57,0,0,0,0,0,0,,,0,,46240.85,0,0,0.042,3612.57,,,,,,,,,,,,,,,,,,,
46202.82,,,0.042,3609.6,0,0,0,0,0,0,,,0,,46202.82,0,0,0.042,3609.6,,,,,,,,,,,,,,,,,,,
45171.4,,,0.043,3529.02,0,0,0,0,0,0,,,0,,45171.4,0,0,0.043,3529.02,,,,,,,,,,,,,,,,,,,
30.01,,,66.673,2.34,0,0,0,0,0,0,,,0,,30.01,0,0,66.673,2.34,,,,,,,,,,,,,,,,,,,
18.02,,,110.985,1.41,0,0,0,0,0,0,,,0,,18.02,0,0,110.985,1.41,,,,,,,,,,,,,,,,,,,
17.78,,,112.468,1.39,0,0,0,0,0,0,,,0,,17.78,0,0,112.468,1.39,,,,,,,,,,,,,,,,,,,
45490.32,,,0.042,3553.93,0,0,0,0,0,0,,,0,,45490.32,0,0,0.042,3553.93,,,,,,,,,,,,,,,,,,,
33.24,,,60.448,2.6,0,0,0,0,0,0,,,0,,33.24,0,0,60.448,2.6,,,,,,,,,,,,,,,,,,,
28.88,,,69.378,2.26,0,0,0,0,0,0,,,0,,28.88,0,0,69.378,2.26,,,,,,,,,,,,,,,,,,,
44298.65,,,0.044,3460.83,0,0,0,0,0,0,,,0,,44298.65,0,0,0.044,3460.83,,,,,,,,,,,,,,,,,,,
46333.51,,,0.042,3619.81,0,0,0,0,0,0,,,0,,46333.51,0,0,0.042,3619.81,,,,,,,,,,,,,,,,,,,
41373.52,,,0.046,3232.31,0,0,0,0,0,0,,,0,,41373.52,0,0,0.046,3232.31,,,,,,,,,,,,,,,,,,,
44041.9,,,0.044,3440.77,0,0,0,0,0,0,,,0,,44041.9,0,0,0.044,3440.77,,,,,,,,,,,,,,,,,,,
50674.73,,,0.038,3958.96,0,0,0,0,0,0,,,0,,50674.73,0,0,0.038,3958.96,,,,,,,,,,,,,,,,,,,
46302.94,,,0.042,3617.42,0,0,0,0,0,0,,,0,,46302.94,0,0,0.042,3617.42,,,,,,,,,,,,,,,,,,,
47149.91,,,0.041,3683.59,0,0,0,0,0,0,,,0,,47149.91,0,0,0.041,3683.59,,,,,,,,,,,,,,,,,,,
