redis_version,redis_git_sha1,redis_git_dirty,redis_build_id,redis_mode,os,arch_bits,multiplexing_api,atomicvar_api,gcc_version,process_id,run_id,tcp_port,uptime_in_seconds,uptime_in_days,hz,configured_hz,lru_clock,executable,config_file,connected_clients,client_recent_max_input_buffer,client_recent_max_output_buffer,blocked_clients,used_memory,used_memory_human,used_memory_rss,used_memory_rss_human,used_memory_peak,used_memory_peak_human,used_memory_peak_perc,used_memory_overhead,used_memory_startup,used_memory_dataset,used_memory_dataset_perc,allocator_allocated,allocator_active,allocator_resident,total_system_memory,total_system_memory_human,used_memory_lua,used_memory_lua_human,used_memory_scripts,used_memory_scripts_human,number_of_cached_scripts,maxmemory,maxmemory_human,maxmemory_policy,allocator_frag_ratio,allocator_frag_bytes,allocator_rss_ratio,allocator_rss_bytes,rss_overhead_ratio,rss_overhead_bytes,mem_fragmentation_ratio,mem_fragmentation_bytes,mem_not_counted_for_evict,mem_replication_backlog,mem_clients_slaves,mem_clients_normal,mem_aof_buffer,mem_allocator,active_defrag_running,lazyfree_pending_objects,loading,rdb_changes_since_last_save,rdb_bgsave_in_progress,rdb_last_save_time,rdb_last_bgsave_status,rdb_last_bgsave_time_sec,rdb_current_bgsave_time_sec,rdb_last_cow_size,aof_enabled,aof_rewrite_in_progress,aof_rewrite_scheduled,aof_last_rewrite_time_sec,aof_current_rewrite_time_sec,aof_last_bgrewrite_status,aof_last_write_status,aof_last_cow_size,total_connections_received,total_commands_processed,instantaneous_ops_per_sec,total_net_input_bytes,total_net_output_bytes,instantaneous_input_kbps,instantaneous_output_kbps,rejected_connections,sync_full,sync_partial_ok,sync_partial_err,expired_keys,expired_stale_perc,expired_time_cap_reached_count,evicted_keys,keyspace_hits,keyspace_misses,pubsub_channels,pubsub_patterns,latest_fork_usec,migrate_cached_sockets,slave_expires_tracked_keys,active_defrag_hits,active_defrag_misses,active_defrag_key_hits,active_defrag_key_misses,role,connected_slaves,master_replid,master_replid2,master_repl_offset,second_repl_offset,repl_backlog_active,repl_backlog_size,repl_backlog_first_byte_offset,repl_backlog_histlen,used_cpu_sys,used_cpu_user,used_cpu_sys_children,used_cpu_user_children,cluster_enabled,db0:keys,expires,avg_ttl
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,2077,5d04071b8ceb3f4636d33f0939a589e49adc19ce,6379,22,0,7,7,1745211,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10001.conf,1,32,0,0,38644392,36.85,42033152,40.09,38704616,36.91,99.84,12615400,531608,26028992,68.29,38658184,38932480,42209280,58986446848,54.94,37888,37,0,0,0,2831155200,2.64,volatile-lru,1.01,274296,1.08,3276800,1,-176128,1.09,3410544,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1629135141,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,45654,71500014,5048972,3187.77,226.38,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,a09cdf98680a1b1424b65023d4ebd56944298bc9,0,0,-1,0,1048576,0,0,8.506465,3.861151,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,2335,5f337e72ee1c7cd3b75c4491bb2a275948e73b77,6379,21,0,32,32,1745245,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10002.conf,1,32,0,0,38644392,36.85,42037248,40.09,38704616,36.91,99.84,12615400,531608,26028992,68.29,38658328,38932480,44310528,58986446848,54.94,37888,37,0,0,0,2306867200,2.15,allkeys-random,1.01,274152,1.14,5378048,0.95,-2273280,1.09,3414640,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1629135176,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,55643,71500014,5048972,3885.23,275.94,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,f2121c4b092cf7bb0eda61e534804d20d04a5807,0,0,-1,0,1048576,0,0,8.464944,3.926858,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,2559,9d4680b3332aad198d557fe4ebc09b9ae83ead46,6379,21,0,40,40,1745272,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10003.conf,1,32,0,0,38644392,36.85,42029056,40.08,38704616,36.91,99.84,12615400,531608,26028992,68.29,38657784,38932480,42209280,58986446848,54.94,37888,37,0,0,0,1782579200,1.66,allkeys-lfu,1.01,274696,1.08,3276800,1,-180224,1.09,3406448,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1629135203,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,50950,71500014,5048972,3557.6,252.57,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,b1d198caaf005e3ae4f37c877759bb74130d7fda,0,0,-1,0,1048576,0,0,8.397651,3.828146,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,2824,14c2d1b670fb16f934715d38a059c50c638cbc56,6379,21,0,37,37,1745300,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10004.conf,1,32,0,0,38644392,36.85,41828352,39.89,38704616,36.91,99.84,12615400,531608,26028992,68.29,38658184,38932480,42209280,58986446848,54.94,37888,37,0,0,0,1048576000,1000,noeviction,1.01,274296,1.08,3276800,0.99,-380928,1.08,3205744,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1629135231,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,52136,71500014,5048972,3640.36,258.74,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,cf23ffb02c1b8163a72476e74fe7def0447eba24,0,0,-1,0,1048576,0,0,8.392912,3.816183,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,3111,0f4580db58a81b9c4f4a529f5735a8214bc5b35a,6379,22,0,30,30,1745328,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10005.conf,1,32,0,0,38644392,36.85,42037248,40.09,38704616,36.91,99.84,12615400,531608,26028992,68.29,38657928,38932480,42209280,58986446848,54.94,37888,37,0,0,0,1992294400,1.86,allkeys-random,1.01,274552,1.08,3276800,1,-172032,1.09,3414640,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1629135258,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,53721,71500014,5049038,3751.05,266.38,0,0,0,0,0,0,0,0,743,499257,0,0,0,0,0,0,0,0,0,master,0,7985c4ef38b153245e9d06464c9b72531557490f,0,0,-1,0,1048576,0,0,9.027816,4.059768,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,3418,afde0853c4bcdc73344264d46be0a4ac7a8307ea,6379,22,0,17,17,1745356,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10006.conf,1,32,0,0,38644392,36.85,42045440,40.1,38704616,36.91,99.84,12615400,531608,26028992,68.29,38658528,38932480,44310528,58986446848,54.94,37888,37,0,0,0,2936012800,2.73,volatile-lfu,1.01,273952,1.14,5378048,0.95,-2265088,1.09,3422832,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1629135286,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,17095,71500014,5048972,1193.67,85.35,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,1f8a4c433914dc5fe2089f6a1bc1fd729c3f06e8,0,0,-1,0,1048576,0,0,8.655487,3.991894,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,3748,4a4bab0e59075025053f867dbca17191cc3dc671,6379,22,0,6,6,1745383,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10007.conf,1,32,0,0,38644392,36.85,42037248,40.09,38704616,36.91,99.84,12615400,531608,26028992,68.29,38740280,39022592,42209280,58986446848,54.94,37888,37,0,0,0,1887436800,1.76,volatile-lru,1.01,282312,1.08,3186688,1,-172032,1.09,3332736,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1629135314,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,61651,71500014,5048972,4304.77,305.93,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,3e24ab59cd33686928072c200ce90dba2f6c5184,0,0,-1,0,1048576,0,0,8.466309,3.757391,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,4183,e14f3efe261a424488d3bd1c2f7962b7e74f8973,6379,21,0,4,4,1745411,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10008.conf,1,32,0,0,38644392,36.85,42049536,40.1,38704616,36.91,99.84,12615400,531608,26028992,68.29,38658168,38932480,44310528,58986446848,54.94,37888,37,0,0,0,2306867200,2.15,volatile-lfu,1.01,274312,1.14,5378048,0.95,-2260992,1.09,3468856,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1629135342,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,62112,71500014,5048972,4336.98,308.02,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,4cca52b2ded5fb7e8c8cd2fc9500371c2595a24c,0,0,-1,0,1048576,0,0,8.397042,4.021659,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,4494,3aff61cce992c7409db3f7790e096439fed6e0cc,6379,22,0,17,17,1745439,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10009.conf,1,32,0,0,38644392,36.85,42037248,40.09,38704616,36.91,99.84,12615400,531608,26028992,68.29,38658336,38932480,42209280,58986446848,54.94,37888,37,0,0,0,2726297600,2.54,allkeys-lfu,1.01,274144,1.08,3276800,1,-172032,1.09,3414640,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1629135369,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,0,71500014,5048972,0,0,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,6d601802dce83fb3c1fe2eb893decbe225680f5d,0,0,-1,0,1048576,0,0,8.522362,3.925389,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,4821,623dc1f81c7114ed271a44c5bbc5740ffc946e7c,6379,21,0,12,12,1745466,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10010.conf,1,32,0,0,38644392,36.85,42033152,40.09,38704616,36.91,99.84,12615400,531608,26028992,68.29,38738480,39010304,42209280,58986446848,54.94,37888,37,0,0,0,1992294400,1.86,allkeys-lfu,1.01,271824,1.08,3198976,1,-176128,1.09,3328640,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1629135397,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,59728,71500014,5048972,4170.51,296.11,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,04ee903299bdc6e153033fba1693e76b6bb106c7,0,0,-1,0,1048576,0,0,8.25478,3.803744,0,0,0,249666,0,0
