redis_version,redis_git_sha1,redis_git_dirty,redis_build_id,redis_mode,os,arch_bits,multiplexing_api,atomicvar_api,gcc_version,process_id,run_id,tcp_port,uptime_in_seconds,uptime_in_days,hz,configured_hz,lru_clock,executable,config_file,connected_clients,client_recent_max_input_buffer,client_recent_max_output_buffer,blocked_clients,used_memory,used_memory_human,used_memory_rss,used_memory_rss_human,used_memory_peak,used_memory_peak_human,used_memory_peak_perc,used_memory_overhead,used_memory_startup,used_memory_dataset,used_memory_dataset_perc,allocator_allocated,allocator_active,allocator_resident,total_system_memory,total_system_memory_human,used_memory_lua,used_memory_lua_human,used_memory_scripts,used_memory_scripts_human,number_of_cached_scripts,maxmemory,maxmemory_human,maxmemory_policy,allocator_frag_ratio,allocator_frag_bytes,allocator_rss_ratio,allocator_rss_bytes,rss_overhead_ratio,rss_overhead_bytes,mem_fragmentation_ratio,mem_fragmentation_bytes,mem_not_counted_for_evict,mem_replication_backlog,mem_clients_slaves,mem_clients_normal,mem_aof_buffer,mem_allocator,active_defrag_running,lazyfree_pending_objects,loading,rdb_changes_since_last_save,rdb_bgsave_in_progress,rdb_last_save_time,rdb_last_bgsave_status,rdb_last_bgsave_time_sec,rdb_current_bgsave_time_sec,rdb_last_cow_size,aof_enabled,aof_rewrite_in_progress,aof_rewrite_scheduled,aof_last_rewrite_time_sec,aof_current_rewrite_time_sec,aof_last_bgrewrite_status,aof_last_write_status,aof_last_cow_size,total_connections_received,total_commands_processed,instantaneous_ops_per_sec,total_net_input_bytes,total_net_output_bytes,instantaneous_input_kbps,instantaneous_output_kbps,rejected_connections,sync_full,sync_partial_ok,sync_partial_err,expired_keys,expired_stale_perc,expired_time_cap_reached_count,evicted_keys,keyspace_hits,keyspace_misses,pubsub_channels,pubsub_patterns,latest_fork_usec,migrate_cached_sockets,slave_expires_tracked_keys,active_defrag_hits,active_defrag_misses,active_defrag_key_hits,active_defrag_key_misses,role,connected_slaves,master_replid,master_replid2,master_repl_offset,second_repl_offset,repl_backlog_active,repl_backlog_size,repl_backlog_first_byte_offset,repl_backlog_histlen,used_cpu_sys,used_cpu_user,used_cpu_sys_children,used_cpu_user_children,cluster_enabled,db0:keys,expires,avg_ttl
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,9766,315397c2a7901f878534c62f4e38246b1c48fccd,6379,22,0,7,7,3505752,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10001.conf,1,32,0,0,38644392,36.85,42033152,40.09,38704616,36.91,99.84,12615400,531608,26028992,68.29,38658192,38932480,42209280,58986446848,54.94,37888,37,0,0,0,2831155200,2.64,volatile-lru,1.01,274288,1.08,3276800,1,-176128,1.09,3410544,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630895682,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,48885,71500014,5048972,3413.37,242.5,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,ad29c73a6f9f7a99d7cb6242a252a162191faa1b,0,0,-1,0,1048576,0,0,8.846782,3.943008,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,10088,78f48f5d372d54770cb95ec6c705feabc5ba2e82,6379,22,0,32,32,3505788,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10002.conf,1,32,0,0,38644392,36.85,42053632,40.11,38704616,36.91,99.84,12615400,531608,26028992,68.29,38656192,38920192,42209280,58986446848,54.94,37888,37,0,0,0,2306867200,2.15,allkeys-random,1.01,264000,1.08,3289088,1,-155648,1.09,3431024,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630895718,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,20229,71500014,5048972,1412.46,100.34,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,db5c98a8a5a75055f0ba2c71c02262c332101af3,0,0,-1,0,1048576,0,0,8.58088,3.920968,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,10274,a7dd66f07f33a67956ffaefbfcd27582dc342ada,6379,22,0,40,40,3505816,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10003.conf,1,32,0,0,38644392,36.85,42037248,40.09,38704616,36.91,99.84,12615400,531608,26028992,68.29,38658184,38932480,42209280,58986446848,54.94,37888,37,0,0,0,1782579200,1.66,allkeys-lfu,1.01,274296,1.08,3276800,1,-172032,1.09,3414640,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630895746,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,35258,71500014,5049038,2461.91,175.14,0,0,0,0,0,0,0,0,743,499257,0,0,0,0,0,0,0,0,0,master,0,d8516ec6f082396b6a66b54b4c5e65c07967c414,0,0,-1,0,1048576,0,0,8.847782,3.970934,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,10490,249aa39f8ec3ae1e109faad5cd8aaca06543d73f,6379,22,0,37,37,3505844,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10004.conf,1,32,0,0,38644392,36.85,42020864,40.07,38704624,36.91,99.84,12615400,531608,26028992,68.29,38656176,38920192,42209280,58986446848,54.94,37888,37,0,0,0,1048576000,1000,noeviction,1.01,264016,1.08,3289088,1,-188416,1.09,3398256,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630895774,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,18119,71500014,5049038,1265.16,90.17,0,0,0,0,0,0,0,0,743,499257,0,0,0,0,0,0,0,0,0,master,0,e4d931f869624b37fb74db3d869d27ce62d1f28d,0,0,-1,0,1048576,0,0,8.801138,3.874116,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,10698,794351f62dbbf238dbecf8237106f324ad6ff607,6379,22,0,30,30,3505873,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10005.conf,1,32,0,0,38644392,36.85,42045440,40.1,38704616,36.91,99.84,12635888,531608,26008504,68.24,38657736,38932480,42209280,58986446848,54.94,37888,37,0,0,0,1992294400,1.86,allkeys-random,1.01,274744,1.08,3276800,1,-163840,1.09,3443824,0,0,0,20488,0,jemalloc-5.1.0,0,0,0,500000,0,1630895803,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,26102,71500014,5049038,1822.58,129.65,0,0,0,0,0,0,0,0,743,499257,0,0,0,0,0,0,0,0,0,master,0,8e40e8c05c88168113d1ed14043d2f48d59fabd3,0,0,-1,0,1048576,0,0,8.811133,4.059362,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,10918,816d18d78af8738bf93c0fe06ebb1f01ed56d93c,6379,22,0,17,17,3505901,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10006.conf,1,32,0,0,38644392,36.85,42033152,40.09,38704616,36.91,99.84,12615400,531608,26028992,68.29,38656368,38920192,42209280,58986446848,54.94,37888,37,0,0,0,2936012800,2.73,volatile-lfu,1.01,263824,1.08,3289088,1,-176128,1.09,3410544,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630895831,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,33764,71500014,5048972,2357.54,167.44,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,b81ad7234b9f7d25c133d3bb117160dd66ad093e,0,0,-1,0,1048576,0,0,9.030384,3.957099,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,11180,24088eaadb7f8b56828123d4ab8abff7c28d6e8a,6379,22,0,6,6,3505929,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10007.conf,1,32,0,0,38644392,36.85,42041344,40.09,38704616,36.91,99.84,12615400,531608,26028992,68.29,38657184,38920192,42196992,58986446848,54.94,37888,37,0,0,0,1887436800,1.76,volatile-lru,1.01,263008,1.08,3276800,1,-155648,1.09,3418736,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630895859,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,45764,71500014,5049038,3195.52,226.93,0,0,0,0,0,0,0,0,743,499257,0,0,0,0,0,0,0,0,0,master,0,50841fd2068244649d8695ea185fbb3533785ec8,0,0,-1,0,1048576,0,0,8.892024,4.017613,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,11457,ea3f953cbac84dfc7f0076368dc11b0fde8eef13,6379,22,0,4,4,3505958,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10008.conf,1,32,0,0,38644392,36.85,42049536,40.1,38704616,36.91,99.84,12615400,531608,26028992,68.29,38656584,38920192,42209280,58986446848,54.94,37888,37,0,0,0,2306867200,2.15,volatile-lfu,1.01,263608,1.08,3289088,1,-159744,1.09,3468856,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630895888,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,48520,71500014,5048972,3387.91,240.56,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,6c1449f26c86cec3425ab9cdc134d5a36cf78b8e,0,0,-1,0,1048576,0,0,8.668861,3.974964,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,11720,0e4ce5bc1ba88e2829ce6fb6d0d279cb5c5d40ac,6379,22,0,17,17,3505986,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10009.conf,1,32,0,0,38644392,36.85,42029056,40.08,38704616,36.91,99.84,12615400,531608,26028992,68.29,38656320,38920192,42209280,58986446848,54.94,37888,37,0,0,0,2726297600,2.54,allkeys-lfu,1.01,263872,1.08,3289088,1,-180224,1.09,3406448,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630895916,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,13246,71500014,5048972,924.91,66.14,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,7622ecabe358de5f930affe429367d7d86230acb,0,0,-1,0,1048576,0,0,8.890964,3.81441,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,12024,a2e20afb69dbd198a47d1157231b624f6c5a3190,6379,22,0,12,12,3506014,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10010.conf,1,32,0,0,38644392,36.85,42033152,40.09,38704616,36.91,99.84,12615400,531608,26028992,68.29,38658336,38932480,42209280,58986446848,54.94,37888,37,0,0,0,1992294400,1.86,allkeys-lfu,1.01,274144,1.08,3276800,1,-176128,1.09,3452472,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630895944,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,28109,71500014,5049038,1962.69,139.68,0,0,0,0,0,0,0,0,743,499257,0,0,0,0,0,0,0,0,0,master,0,4130a7a6ba28c88a4623f95e2b158e9cb9f092fc,0,0,-1,0,1048576,0,0,8.741318,3.983159,0,0,0,249666,0,0
