redis_version,redis_git_sha1,redis_git_dirty,redis_build_id,redis_mode,os,arch_bits,multiplexing_api,atomicvar_api,gcc_version,process_id,run_id,tcp_port,uptime_in_seconds,uptime_in_days,hz,configured_hz,lru_clock,executable,config_file,connected_clients,client_recent_max_input_buffer,client_recent_max_output_buffer,blocked_clients,used_memory,used_memory_human,used_memory_rss,used_memory_rss_human,used_memory_peak,used_memory_peak_human,used_memory_peak_perc,used_memory_overhead,used_memory_startup,used_memory_dataset,used_memory_dataset_perc,allocator_allocated,allocator_active,allocator_resident,total_system_memory,total_system_memory_human,used_memory_lua,used_memory_lua_human,used_memory_scripts,used_memory_scripts_human,number_of_cached_scripts,maxmemory,maxmemory_human,maxmemory_policy,allocator_frag_ratio,allocator_frag_bytes,allocator_rss_ratio,allocator_rss_bytes,rss_overhead_ratio,rss_overhead_bytes,mem_fragmentation_ratio,mem_fragmentation_bytes,mem_not_counted_for_evict,mem_replication_backlog,mem_clients_slaves,mem_clients_normal,mem_aof_buffer,mem_allocator,active_defrag_running,lazyfree_pending_objects,loading,rdb_changes_since_last_save,rdb_bgsave_in_progress,rdb_last_save_time,rdb_last_bgsave_status,rdb_last_bgsave_time_sec,rdb_current_bgsave_time_sec,rdb_last_cow_size,aof_enabled,aof_rewrite_in_progress,aof_rewrite_scheduled,aof_last_rewrite_time_sec,aof_current_rewrite_time_sec,aof_last_bgrewrite_status,aof_last_write_status,aof_last_cow_size,aof_current_size,aof_base_size,aof_pending_rewrite,aof_buffer_length,aof_rewrite_buffer_length,aof_pending_bio_fsync,aof_delayed_fsync,total_connections_received,total_commands_processed,instantaneous_ops_per_sec,total_net_input_bytes,total_net_output_bytes,instantaneous_input_kbps,instantaneous_output_kbps,rejected_connections,sync_full,sync_partial_ok,sync_partial_err,expired_keys,expired_stale_perc,expired_time_cap_reached_count,evicted_keys,keyspace_hits,keyspace_misses,pubsub_channels,pubsub_patterns,latest_fork_usec,migrate_cached_sockets,slave_expires_tracked_keys,active_defrag_hits,active_defrag_misses,active_defrag_key_hits,active_defrag_key_misses,role,connected_slaves,master_replid,master_replid2,master_repl_offset,second_repl_offset,repl_backlog_active,repl_backlog_size,repl_backlog_first_byte_offset,repl_backlog_histlen,used_cpu_sys,used_cpu_user,used_cpu_sys_children,used_cpu_user_children,cluster_enabled,db0:keys,expires,avg_ttl
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,8870,edf6fd0922dad5cab93deb06108df5c3fb94c52a,6379,6,0,6,6,4510577,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config1.conf,1,32,0,0,1766408,1.68,5201920,4.96,2285424,2.18,77.29,1062688,531608,703720,56.99,1814808,2072576,5685248,58986446848,54.94,37888,37.00,0,0,0,1048576000,1000.00,volatile-lru,1.14,257768,2.74,3612672,0.91,-483328,2.98,3457280,4,0,0,0,8,jemalloc-5.1.0,0,0,0,20000,0,1631900523,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,7530,1500014,100000,551.52,36.77,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,b7edd826b1aafe8bb10ae7a8d49c2997d9721176,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.259284,0.095140,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,8951,0f594fd683d6c50b8fcae4651f529c33ed495de7,6379,6,0,18,18,4510596,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config2.conf,1,32,0,0,1766624,1.68,4714496,4.50,1826848,1.74,96.70,1062904,531608,703720,56.98,1782752,2031616,4980736,58986446848,54.94,37888,37.00,0,0,0,1887436800,1.76,noeviction,1.14,248864,2.45,2949120,0.95,-266240,2.77,3011584,220,0,0,0,224,jemalloc-5.1.0,0,0,0,20000,0,1631900542,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,16533,1500014,100000,1210.99,80.74,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,c9fd92cc457691bb14303d34ae2e9a535f234d3c,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.292150,0.119217,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,9038,7c371632df4c9bece9c55c7a4775aa0493aceb6a,6379,1145,0,16,16,4511748,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config3.conf,1,32,0,0,1766624,1.68,4616192,4.40,1826848,1.74,96.70,1062904,531608,703720,56.98,1782208,2031616,4943872,58986446848,54.94,37888,37.00,0,0,0,2621440000,2.44,volatile-lfu,1.14,249408,2.43,2912256,0.93,-327680,2.65,2871336,220,0,0,0,224,jemalloc-5.1.0,0,0,0,4185,0,1631901458,ok,0,-1,274432,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,2,1500014,100000,0.15,0.01,0,0,0,0,0,0.00,0,0,0,0,0,0,174,0,0,0,0,0,0,master,0,0e4050cc2a77ebe873f283bf379198b666aa4d56,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,1.787249,0.715064,0.005020,0.007959,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,16727,c788d648c31433f807009310587787ef8d9ab5f3,6379,6,0,2,2,4511759,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config4.conf,1,32,0,0,1766624,1.68,4718592,4.50,1826848,1.74,96.70,1062904,531608,703720,56.98,1863904,2121728,7090176,58986446848,54.94,37888,37.00,0,0,0,2202009600,2.05,volatile-random,1.14,257824,3.34,4968448,0.67,-2371584,2.58,2891832,220,0,0,0,224,jemalloc-5.1.0,0,0,0,20000,0,1631901706,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,2500,1500014,100000,183.11,12.21,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,a6e24416002f87d835d0ebb406b58d79206ca5a5,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.299743,0.151652,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,16817,57c6dca27fba97ca84df05b2e2f30e75e6b9074d,6379,1081,0,7,7,4512847,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config5.conf,1,32,0,0,1766624,1.68,4554752,4.34,1826848,1.74,96.70,1062904,531608,703720,56.98,1783240,2031616,7045120,58986446848,54.94,37888,37.00,0,0,0,1468006400,1.37,noeviction,1.14,248376,3.47,5013504,0.65,-2490368,2.61,2809896,220,0,0,0,224,jemalloc-5.1.0,0,0,0,3178,0,1631902621,ok,0,-1,323584,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,19,1500014,100000,1.47,0.10,0,0,0,0,0,0.00,0,0,0,0,0,0,209,0,0,0,0,0,0,master,0,c836707e688b533a01b5d25f1d62681c81daa9e6,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,1.770491,0.654785,0.005629,0.007635,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,24823,079c5f6ccf17358c8878cd1f5665d5336995c08a,6379,6,0,7,7,4512859,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config6.conf,1,32,0,0,1766624,1.68,4734976,4.52,1826848,1.74,96.70,1062904,531608,703720,56.98,1779232,2031616,5054464,58986446848,54.94,37888,37.00,0,0,0,1782579200,1.66,allkeys-lfu,1.14,252384,2.49,3022848,0.94,-319488,2.71,2990120,220,0,0,0,224,jemalloc-5.1.0,0,0,0,20000,0,1631902805,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,8802,1500014,100000,644.74,42.98,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,79a0f5417a1d012a0379388dd147b4c8794b9cbb,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.337855,0.150956,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,24905,b8ce049b5da79374b2eccac5db42740d082573d8,6379,548,0,8,8,4513413,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config7.conf,1,32,0,0,1766624,1.68,4784128,4.56,1826848,1.74,96.70,1062904,531608,703720,56.98,1783240,2031616,4943872,58986446848,54.94,37888,37.00,0,0,0,3040870400,2.83,volatile-lfu,1.14,248376,2.43,2912256,0.97,-159744,2.74,3039272,220,0,0,0,224,jemalloc-5.1.0,0,0,0,2883,0,1631903365,ok,0,-1,532480,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,1460,1500014,100000,106.96,7.13,0,0,0,0,0,0.00,0,0,0,0,0,0,185,0,0,0,0,0,0,master,0,e6fbd6cefc2fe412484288aacccf54943c4b1735,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,1.263701,0.442486,0.002038,0.011859,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,29026,a5d069146ca886ec80806be0201c2e38bb43ef38,6379,6,0,33,33,4513426,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config8.conf,1,32,0,0,1766560,1.68,4763648,4.54,1826784,1.74,96.70,1062840,531608,703720,56.98,1815136,2072576,5046272,58986446848,54.94,37888,37.00,0,0,0,1992294400,1.86,noeviction,1.14,257440,2.43,2973696,0.94,-282624,2.73,3018856,156,0,0,0,160,jemalloc-5.1.0,0,0,0,20000,0,1631903372,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,13858,1500014,100000,1015.06,67.67,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,947abb3a8781fc2b86064c7ea60608a1bf5fec87,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.324905,0.133960,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,29087,9ec28eedfaf231bb3ffd02c73a0aec7b88ad7d5e,6379,6,0,11,11,4513438,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config9.conf,1,32,0,0,1766560,1.68,4673536,4.46,1826784,1.74,96.70,1062840,531608,703720,56.98,1814968,2072576,5042176,58986446848,54.94,37888,37.00,0,0,0,1992294400,1.86,noeviction,1.14,257608,2.43,2969600,0.93,-368640,2.68,2928744,156,0,0,0,160,jemalloc-5.1.0,0,0,0,20000,0,1631903384,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,13888,1500014,100000,1017.25,67.82,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,feb9695c14e3a4b9a98ed2d8ce82a7b83cbb91be,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.318263,0.153509,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,29178,63ef88272b102afb9e9e9e87b1ababa31cece652,6379,6,0,31,31,4513450,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10.conf,1,32,0,0,1766624,1.68,4702208,4.48,1826848,1.74,96.70,1062904,531608,703720,56.98,1782160,2031616,4964352,58986446848,54.94,37888,37.00,0,0,0,2831155200,2.64,volatile-lru,1.14,249456,2.44,2932736,0.95,-262144,2.69,2957352,220,0,0,0,224,jemalloc-5.1.0,0,0,0,20000,0,1631903396,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,13019,1500014,100000,953.59,63.57,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,db156ef6faa561cb7ca22436cd531849120d05e8,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.358825,0.146110,0.000000,0.000000,0,10000,0,0
