redis_version,redis_git_sha1,redis_git_dirty,redis_build_id,redis_mode,os,arch_bits,multiplexing_api,atomicvar_api,gcc_version,process_id,run_id,tcp_port,uptime_in_seconds,uptime_in_days,hz,configured_hz,lru_clock,executable,config_file,connected_clients,client_recent_max_input_buffer,client_recent_max_output_buffer,blocked_clients,used_memory,used_memory_human,used_memory_rss,used_memory_rss_human,used_memory_peak,used_memory_peak_human,used_memory_peak_perc,used_memory_overhead,used_memory_startup,used_memory_dataset,used_memory_dataset_perc,allocator_allocated,allocator_active,allocator_resident,total_system_memory,total_system_memory_human,used_memory_lua,used_memory_lua_human,used_memory_scripts,used_memory_scripts_human,number_of_cached_scripts,maxmemory,maxmemory_human,maxmemory_policy,allocator_frag_ratio,allocator_frag_bytes,allocator_rss_ratio,allocator_rss_bytes,rss_overhead_ratio,rss_overhead_bytes,mem_fragmentation_ratio,mem_fragmentation_bytes,mem_not_counted_for_evict,mem_replication_backlog,mem_clients_slaves,mem_clients_normal,mem_aof_buffer,mem_allocator,active_defrag_running,lazyfree_pending_objects,loading,rdb_changes_since_last_save,rdb_bgsave_in_progress,rdb_last_save_time,rdb_last_bgsave_status,rdb_last_bgsave_time_sec,rdb_current_bgsave_time_sec,rdb_last_cow_size,aof_enabled,aof_rewrite_in_progress,aof_rewrite_scheduled,aof_last_rewrite_time_sec,aof_current_rewrite_time_sec,aof_last_bgrewrite_status,aof_last_write_status,aof_last_cow_size,total_connections_received,total_commands_processed,instantaneous_ops_per_sec,total_net_input_bytes,total_net_output_bytes,instantaneous_input_kbps,instantaneous_output_kbps,rejected_connections,sync_full,sync_partial_ok,sync_partial_err,expired_keys,expired_stale_perc,expired_time_cap_reached_count,evicted_keys,keyspace_hits,keyspace_misses,pubsub_channels,pubsub_patterns,latest_fork_usec,migrate_cached_sockets,slave_expires_tracked_keys,active_defrag_hits,active_defrag_misses,active_defrag_key_hits,active_defrag_key_misses,role,connected_slaves,master_replid,master_replid2,master_repl_offset,second_repl_offset,repl_backlog_active,repl_backlog_size,repl_backlog_first_byte_offset,repl_backlog_histlen,used_cpu_sys,used_cpu_user,used_cpu_sys_children,used_cpu_user_children,cluster_enabled,db0:keys,expires,avg_ttl
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,6899,fe197bf4fc141015b3c2f4ecc62ccb33de6b6c0c,6379,6,0,23,23,4253746,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10001.conf,1,32,0,0,1180904,1.13,4079616,3.89,1241152,1.18,95.15,797176,531608,383728,59.10,1192120,1445888,4415488,58986446848,54.94,37888,37.00,0,0,0,2097152000,1.95,volatile-lru,1.21,253768,3.05,2969600,0.92,-335872,3.52,2920496,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1631643692,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,14497,1110014,100000,785.73,70.79,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,be60a02f1ec12af52e74b431c1e11d0bcda5dfd6,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.199604,0.092045,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,7020,d59f4e1d86cf0610b83c8396564040271c18ea46,6379,6,0,36,36,4253766,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10002.conf,1,32,0,0,1180872,1.13,4055040,3.87,1241096,1.18,95.15,797144,531608,383728,59.10,1196384,1445888,4456448,58986446848,54.94,37888,37.00,0,0,0,1258291200,1.17,allkeys-lru,1.21,249504,3.08,3010560,0.91,-401408,3.50,2895952,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1631643712,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,15393,1110014,100000,834.31,75.16,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,32fee2f74270d45f37d315dc13fa356d59b2c087,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.231897,0.107341,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,7089,14e7b49d05fab098ce1c350f6348f25477d8447d,6379,6,0,37,37,4253778,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10003.conf,1,32,0,0,1180872,1.13,4075520,3.89,1241096,1.18,95.15,797144,531608,383728,59.10,1196192,1445888,4546560,58986446848,54.94,37888,37.00,0,0,0,1887436800,1.76,volatile-random,1.21,249696,3.14,3100672,0.90,-471040,3.52,2916432,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1631643724,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,15393,1110014,100000,834.34,75.17,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,54399e80c5a0b358bef037b4836dfd4aa8645488,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.206786,0.107529,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,7180,7990ec0a742ac9fb22943218656b0b4c1c0617ff,6379,6,0,16,16,4253790,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10004.conf,1,32,0,0,1180872,1.13,4063232,3.88,1241096,1.18,95.15,797144,531608,383728,59.10,1196368,1445888,4472832,58986446848,54.94,37888,37.00,0,0,0,2621440000,2.44,allkeys-lru,1.21,249520,3.09,3026944,0.91,-409600,3.51,2904144,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1631643736,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,20111,1110014,100000,1090.05,98.20,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,a5600206f30c5febb977b9cfaec1248369163a7a,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.225227,0.101039,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,7245,1f582bad71b9a281421f00bb7481e63d1f07dabb,6379,6,0,21,21,4253802,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10005.conf,1,32,0,0,1180872,1.13,4059136,3.87,1241096,1.18,95.15,797144,531608,383728,59.10,1196368,1445888,4456448,58986446848,54.94,37888,37.00,0,0,0,2202009600,2.05,volatile-lru,1.21,249520,3.08,3010560,0.91,-397312,3.50,2900048,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1631643748,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,13297,1110014,100000,720.73,64.93,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,051d4811a85b3806c66f4a39d4762a9723be12e2,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.216427,0.099726,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,7342,4c9e72b3058c2183fb05e1b950faa4bf47576ced,6379,6,0,28,28,4253814,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10006.conf,1,32,0,0,1180872,1.13,4059136,3.87,1241096,1.18,95.15,797144,531608,383728,59.10,1196768,1445888,4472832,58986446848,54.94,37888,37.00,0,0,0,2411724800,2.25,volatile-ttl,1.21,249120,3.09,3026944,0.91,-413696,3.50,2900048,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1631643760,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,17857,1110014,100000,967.84,87.19,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,0375d703899c383ca89e0692a16683d1c15b4e33,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.218933,0.099515,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,7440,8dcda378ed74979c5e7d88b94b09c026c0c05516,6379,6,0,7,7,4253826,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10007.conf,1,24,0,0,1180872,1.13,4071424,3.88,1241096,1.18,95.15,797144,531608,383728,59.10,1196392,1445888,4472832,58986446848,54.94,37888,37.00,0,0,0,3040870400,2.83,volatile-ttl,1.21,249496,3.09,3026944,0.91,-401408,3.51,2912336,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1631643772,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,8802,1110014,100000,477.11,42.98,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,bdf1e038a77689363a7e17722d3990b453d3dec1,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.200559,0.072018,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,7543,5576a09da3342a08a86d6d8b2d3bb732dbe2bc1e,6379,6,0,15,15,4253838,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10008.conf,1,32,0,0,1180872,1.13,4063232,3.88,1241096,1.18,95.15,797144,531608,383728,59.10,1196392,1445888,4472832,58986446848,54.94,37888,37.00,0,0,0,1048576000,1000.00,volatile-random,1.21,249496,3.09,3026944,0.91,-409600,3.51,2904144,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1631643784,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,18939,1110014,100000,1026.50,92.48,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,4e92df647486e191676729aaefba206abc035424,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.228964,0.099891,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,7667,b4b6802e7bf4cebfceadc108302c8a953ad8b7cf,6379,6,0,12,12,4253850,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10009.conf,1,32,0,0,1180872,1.13,4067328,3.88,1241096,1.18,95.15,797144,531608,383728,59.10,1196200,1445888,4472832,58986446848,54.94,37888,37.00,0,0,0,1677721600,1.56,allkeys-lru,1.21,249688,3.09,3026944,0.91,-405504,3.51,2908240,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1631643796,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,15060,1110014,100000,816.25,73.54,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,5ba98e75d294efb24d56d84989e6d17df91a1153,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.192320,0.095091,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,7801,c796727feb1666b350c4b103195507f688ee9c44,6379,6,0,27,27,4253862,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10010.conf,1,32,0,0,1180872,1.13,4059136,3.87,1241096,1.18,95.15,797144,531608,383728,59.10,1196192,1445888,4472832,58986446848,54.94,37888,37.00,0,0,0,2097152000,1.95,volatile-lfu,1.21,249696,3.09,3026944,0.91,-413696,3.50,2900048,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1631643808,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,16891,1110014,100000,915.53,82.48,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,d115f2f485d8830ea4a60aea7982c09d33caf4e2,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.216557,0.107788,0.000000,0.000000,0,5000,0,0
