redis_version,redis_git_sha1,redis_git_dirty,redis_build_id,redis_mode,os,arch_bits,multiplexing_api,atomicvar_api,gcc_version,process_id,run_id,tcp_port,uptime_in_seconds,uptime_in_days,hz,configured_hz,lru_clock,executable,config_file,connected_clients,client_recent_max_input_buffer,client_recent_max_output_buffer,blocked_clients,used_memory,used_memory_human,used_memory_rss,used_memory_rss_human,used_memory_peak,used_memory_peak_human,used_memory_peak_perc,used_memory_overhead,used_memory_startup,used_memory_dataset,used_memory_dataset_perc,allocator_allocated,allocator_active,allocator_resident,total_system_memory,total_system_memory_human,used_memory_lua,used_memory_lua_human,used_memory_scripts,used_memory_scripts_human,number_of_cached_scripts,maxmemory,maxmemory_human,maxmemory_policy,allocator_frag_ratio,allocator_frag_bytes,allocator_rss_ratio,allocator_rss_bytes,rss_overhead_ratio,rss_overhead_bytes,mem_fragmentation_ratio,mem_fragmentation_bytes,mem_not_counted_for_evict,mem_replication_backlog,mem_clients_slaves,mem_clients_normal,mem_aof_buffer,mem_allocator,active_defrag_running,lazyfree_pending_objects,loading,rdb_changes_since_last_save,rdb_bgsave_in_progress,rdb_last_save_time,rdb_last_bgsave_status,rdb_last_bgsave_time_sec,rdb_current_bgsave_time_sec,rdb_last_cow_size,aof_enabled,aof_rewrite_in_progress,aof_rewrite_scheduled,aof_last_rewrite_time_sec,aof_current_rewrite_time_sec,aof_last_bgrewrite_status,aof_last_write_status,aof_last_cow_size,total_connections_received,total_commands_processed,instantaneous_ops_per_sec,total_net_input_bytes,total_net_output_bytes,instantaneous_input_kbps,instantaneous_output_kbps,rejected_connections,sync_full,sync_partial_ok,sync_partial_err,expired_keys,expired_stale_perc,expired_time_cap_reached_count,evicted_keys,keyspace_hits,keyspace_misses,pubsub_channels,pubsub_patterns,latest_fork_usec,migrate_cached_sockets,slave_expires_tracked_keys,active_defrag_hits,active_defrag_misses,active_defrag_key_hits,active_defrag_key_misses,role,connected_slaves,master_replid,master_replid2,master_repl_offset,second_repl_offset,repl_backlog_active,repl_backlog_size,repl_backlog_first_byte_offset,repl_backlog_histlen,used_cpu_sys,used_cpu_user,used_cpu_sys_children,used_cpu_user_children,cluster_enabled,db0:keys,expires,avg_ttl
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,30499,5a62d2127ba7aa20669d5a24edd88e25c8e4b91e,6379,6,0,23,23,4429256,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10001.conf,1,32,0,0,1766408,1.68,4722688,4.50,1826632,1.74,96.70,1062680,531608,703728,56.99,1781896,2031616,5050368,58986446848,54.94,37888,37.00,0,0,0,2097152000,1.95,volatile-lru,1.14,249720,2.49,3018752,0.94,-327680,2.71,2978048,0,0,0,0,0,jemalloc-5.1.0,0,0,0,20000,0,1631819202,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,14522,1500014,100000,1063.66,70.91,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,8ee31d5e710f1c8623678fdcdbc034be0df7e074,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.224627,0.106211,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,30690,2365185f4acb4d1c66df5b030e4144777a052993,6379,6,0,36,36,4429275,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10002.conf,1,32,0,0,1766408,1.68,4722688,4.50,1826632,1.74,96.70,1062680,531608,703728,56.99,1781864,2031616,4980736,58986446848,54.94,37888,37.00,0,0,0,1258291200,1.17,allkeys-lru,1.14,249752,2.45,2949120,0.95,-258048,2.71,2978048,0,0,0,0,0,jemalloc-5.1.0,0,0,0,20000,0,1631819221,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,15431,1500014,100000,1130.28,75.35,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,916edc258dc1408a913d80fba8901678bf31bdb0,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.182061,0.100586,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,30760,2dd674cda4ab05b2b32daa0d51c864b061bccd70,6379,6,0,37,37,4429287,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10003.conf,1,32,0,0,1766408,1.68,4698112,4.48,1826632,1.74,96.70,1062680,531608,703728,56.99,1781736,2031616,4956160,58986446848,54.94,37888,37.00,0,0,0,1887436800,1.76,volatile-random,1.14,249880,2.44,2924544,0.95,-258048,2.69,2953472,0,0,0,0,0,jemalloc-5.1.0,0,0,0,20000,0,1631819233,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,15413,1500014,100000,1128.91,75.26,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,6c4ae0eafc07f37940e500de2ce4a5e7a91338ed,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.199448,0.080606,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,30876,0288277e122e55806b40be0dbf65ccfe034efb9b,6379,6,0,16,16,4429299,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10004.conf,1,32,0,0,1766408,1.68,4702208,4.48,1826632,1.74,96.70,1062680,531608,703728,56.99,1781896,2031616,4968448,58986446848,54.94,37888,37.00,0,0,0,2621440000,2.44,allkeys-lru,1.14,249720,2.45,2936832,0.95,-266240,2.70,2957568,0,0,0,0,0,jemalloc-5.1.0,0,0,0,20000,0,1631819245,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,20161,1500014,100000,1476.66,98.44,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,ca1afbd0443c362fe7576691ba86f3cc53685218,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.194226,0.087181,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,30952,8fddedded16b5f718424dcefe785ab449d02bd30,6379,6,0,21,21,4429312,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10005.conf,1,32,0,0,1766408,1.68,4710400,4.49,1826632,1.74,96.70,1062680,531608,703728,56.99,1781896,2031616,5042176,58986446848,54.94,37888,37.00,0,0,0,2202009600,2.05,volatile-lru,1.14,249720,2.48,3010560,0.93,-331776,2.70,2965760,0,0,0,0,0,jemalloc-5.1.0,0,0,0,20000,0,1631819258,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,13270,1500014,100000,971.93,64.79,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,2a961fe60a0fbf1bb678643085f16fecae1e1931,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.214280,0.116201,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,31046,deb04c6c45abfd72efbbb1ab14f1cf712791a1eb,6379,6,0,28,28,4429324,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10006.conf,1,32,0,0,1766408,1.68,4714496,4.50,1826632,1.74,96.70,1062680,531608,703728,56.99,1782280,2031616,4980736,58986446848,54.94,37888,37.00,0,0,0,2411724800,2.25,volatile-ttl,1.14,249336,2.45,2949120,0.95,-266240,2.70,2969856,0,0,0,0,0,jemalloc-5.1.0,0,0,0,20000,0,1631819270,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,17856,1500014,100000,1307.90,87.19,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,2a4dc1458d273389367a136a2909ce03a1634222,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.180260,0.089975,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,31147,4c63a6672d5cc018494cdf5826ff3f0da7840c62,6379,6,0,7,7,4429336,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10007.conf,1,32,0,0,1766408,1.68,4722688,4.50,1826632,1.74,96.70,1062680,531608,703728,56.99,1781896,2031616,4968448,58986446848,54.94,37888,37.00,0,0,0,3040870400,2.83,volatile-ttl,1.14,249720,2.45,2936832,0.95,-245760,2.71,2978048,0,0,0,0,0,jemalloc-5.1.0,0,0,0,20000,0,1631819282,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,8802,1500014,100000,644.74,42.98,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,1c40f0a3ebdbc26fb3a20bc1dc4adb61304a1e3e,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.232459,0.106326,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,31248,d2530c6d7f3cd00f01c17aba81c064e2b7342fc9,6379,6,0,15,15,4429348,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10008.conf,1,32,0,0,1766408,1.68,4718592,4.50,1826632,1.74,96.70,1062680,531608,703728,56.99,1781896,2031616,4956160,58986446848,54.94,37888,37.00,0,0,0,1048576000,1000.00,volatile-random,1.14,249720,2.44,2924544,0.95,-237568,2.70,2973952,0,0,0,0,0,jemalloc-5.1.0,0,0,0,20000,0,1631819294,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,18939,1500014,100000,1387.16,92.48,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,32642973563f9fec6cbfc3332adc979e37d7ace4,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.210513,0.106194,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,31382,d5a63425a1a61ad791820e1fa9c5ebf9b4827ea9,6379,6,0,12,12,4429360,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10009.conf,1,32,0,0,1766408,1.68,4710400,4.49,1826632,1.74,96.70,1062680,531608,703728,56.99,1781704,2031616,7081984,58986446848,54.94,37888,37.00,0,0,0,1677721600,1.56,allkeys-lru,1.14,249912,3.49,5050368,0.67,-2371584,2.70,2965760,0,0,0,0,0,jemalloc-5.1.0,0,0,0,20000,0,1631819306,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,15060,1500014,100000,1103.04,73.54,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,f7c4de1b1600b9b26841b967fc9a42b824c786cc,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.203933,0.101341,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,31500,7b15fe47bb6cbd8e695be1b691e1c236a29141cc,6379,6,0,27,27,4429372,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10010.conf,1,32,0,0,1766408,1.68,4759552,4.54,1826632,1.74,96.70,1062680,531608,703728,56.99,1781704,2031616,5107712,58986446848,54.94,37888,37.00,0,0,0,2097152000,1.95,volatile-lfu,1.14,249912,2.51,3076096,0.93,-348160,2.80,3056856,0,0,0,0,0,jemalloc-5.1.0,0,0,0,20000,0,1631819318,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,16868,1500014,100000,1235.49,82.37,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,a520f51be14e8a104b4bdba70901d7d19a60a4e9,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.187361,0.084830,0.000000,0.000000,0,10000,0,0
