redis_version,redis_git_sha1,redis_git_dirty,redis_build_id,redis_mode,os,arch_bits,multiplexing_api,atomicvar_api,gcc_version,process_id,run_id,tcp_port,uptime_in_seconds,uptime_in_days,hz,configured_hz,lru_clock,executable,config_file,connected_clients,client_recent_max_input_buffer,client_recent_max_output_buffer,blocked_clients,used_memory,used_memory_human,used_memory_rss,used_memory_rss_human,used_memory_peak,used_memory_peak_human,used_memory_peak_perc,used_memory_overhead,used_memory_startup,used_memory_dataset,used_memory_dataset_perc,allocator_allocated,allocator_active,allocator_resident,total_system_memory,total_system_memory_human,used_memory_lua,used_memory_lua_human,used_memory_scripts,used_memory_scripts_human,number_of_cached_scripts,maxmemory,maxmemory_human,maxmemory_policy,allocator_frag_ratio,allocator_frag_bytes,allocator_rss_ratio,allocator_rss_bytes,rss_overhead_ratio,rss_overhead_bytes,mem_fragmentation_ratio,mem_fragmentation_bytes,mem_not_counted_for_evict,mem_replication_backlog,mem_clients_slaves,mem_clients_normal,mem_aof_buffer,mem_allocator,active_defrag_running,lazyfree_pending_objects,loading,rdb_changes_since_last_save,rdb_bgsave_in_progress,rdb_last_save_time,rdb_last_bgsave_status,rdb_last_bgsave_time_sec,rdb_current_bgsave_time_sec,rdb_last_cow_size,aof_enabled,aof_rewrite_in_progress,aof_rewrite_scheduled,aof_last_rewrite_time_sec,aof_current_rewrite_time_sec,aof_last_bgrewrite_status,aof_last_write_status,aof_last_cow_size,total_connections_received,total_commands_processed,instantaneous_ops_per_sec,total_net_input_bytes,total_net_output_bytes,instantaneous_input_kbps,instantaneous_output_kbps,rejected_connections,sync_full,sync_partial_ok,sync_partial_err,expired_keys,expired_stale_perc,expired_time_cap_reached_count,evicted_keys,keyspace_hits,keyspace_misses,pubsub_channels,pubsub_patterns,latest_fork_usec,migrate_cached_sockets,slave_expires_tracked_keys,active_defrag_hits,active_defrag_misses,active_defrag_key_hits,active_defrag_key_misses,role,connected_slaves,master_replid,master_replid2,master_repl_offset,second_repl_offset,repl_backlog_active,repl_backlog_size,repl_backlog_first_byte_offset,repl_backlog_histlen,used_cpu_sys,used_cpu_user,used_cpu_sys_children,used_cpu_user_children,cluster_enabled,db0:keys,expires,avg_ttl
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,9025,8f319ad9ae50233bb30b56ca1216fcd89349d575,6379,22,0,7,7,3491014,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10001.conf,1,32,0,0,38644424,36.85,42024960,40.08,38704648,36.91,99.84,12615432,531608,26028992,68.29,38662064,38920192,42196992,58986446848,54.94,37888,37,0,0,0,2831155200,2.64,volatile-lru,1.01,258128,1.08,3276800,1,-172032,1.09,3402320,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630880944,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,48113,71500014,5050028,3359.5,238.7,0,0,0,0,0,0,0,0,758,499242,0,0,0,0,0,0,0,0,0,master,0,447b9f3937311ed526b7c552f94bda2c5c56360b,0,0,-1,0,1048576,0,0,8.796697,3.864245,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,9253,f34079d6fbf2b028b320b805e37355077edcd52d,6379,22,0,32,32,3491050,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10002.conf,1,32,0,0,38644392,36.85,42049536,40.1,38704616,36.91,99.84,12615400,531608,26028992,68.29,38656240,38920192,42209280,58986446848,54.94,37888,37,0,0,0,2306867200,2.15,allkeys-random,1.01,263952,1.08,3289088,1,-159744,1.09,3426928,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630880980,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,28736,71500014,5048972,2006.46,142.78,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,349d12f486777b6427b63e85b20ca13bf98b9353,0,0,-1,0,1048576,0,0,8.764686,3.847019,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,9452,dd5f2d3bc8b76c9e1bf4541a4f4ced2284f6fa4e,6379,21,0,40,40,3491077,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10003.conf,1,32,0,0,38644392,36.85,42020864,40.07,38704616,36.91,99.84,12615400,531608,26028992,68.29,38657784,38932480,42209280,58986446848,54.94,37888,37,0,0,0,1782579200,1.66,allkeys-lfu,1.01,274696,1.08,3276800,1,-188416,1.09,3398256,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630881008,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,59107,71500014,5048972,4127.06,293.12,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,12e396407ead9d2723109a5e8d1e161c565e6224,0,0,-1,0,1048576,0,0,8.600411,3.918786,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,9645,863a0341c4e75ce6cf2db8b027a69fd49f0b827e,6379,22,0,37,37,3491105,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10004.conf,1,32,0,0,38644392,36.85,41967616,40.02,38704616,36.91,99.84,12615400,531608,26028992,68.29,38658184,38932480,42209280,58986446848,54.94,37888,37,0,0,0,1048576000,1000,noeviction,1.01,274296,1.08,3276800,0.99,-241664,1.09,3345008,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630881035,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,19796,71500014,5048972,1382.22,98.35,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,a36d27ce84a2aaa8c79567492b897d493a6b1eb1,0,0,-1,0,1048576,0,0,8.804614,4.042991,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,9861,ead5f2923d456aea6ee239bbb632302ddf924886,6379,22,0,30,30,3491134,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10005.conf,1,32,0,0,38644392,36.85,42016768,40.07,38704616,36.91,99.84,12615400,531608,26028992,68.29,38658328,38932480,42209280,58986446848,54.94,37888,37,0,0,0,1992294400,1.86,allkeys-random,1.01,274152,1.08,3276800,1,-192512,1.09,3394160,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630881064,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,41528,71500014,5049038,2899.67,206.11,0,0,0,0,0,0,0,0,743,499257,0,0,0,0,0,0,0,0,0,master,0,6f9a2da5fea41034e448c0ef522afccd8f9f6957,0,0,-1,0,1048576,0,0,8.84381,4.045112,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,10076,74432ad116f5f16676c599ba7c1965b3dc43a1ea,6379,22,0,17,17,3491162,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10006.conf,1,32,0,0,38644392,36.85,42049536,40.1,38704616,36.91,99.84,12615400,531608,26028992,68.29,38658384,38932480,42209280,58986446848,54.94,37888,37,0,0,0,2936012800,2.73,volatile-lfu,1.01,274096,1.08,3276800,1,-159744,1.09,3426928,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630881092,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,43969,71500014,5048972,3070.08,218.31,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,3612ad0ce53a69b147f463985b26d499933431f5,0,0,-1,0,1048576,0,0,8.856048,3.982812,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,10306,29e00a846dfbaea6439939f8ae947f4612d333f5,6379,22,0,6,6,3491190,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10007.conf,1,32,0,0,38644392,36.85,42041344,40.09,38704616,36.91,99.84,12615400,531608,26028992,68.29,38658384,38932480,42209280,58986446848,54.94,37888,37,0,0,0,1887436800,1.76,volatile-lru,1.01,274096,1.08,3276800,1,-167936,1.09,3418736,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630881120,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,43426,71500014,5048972,3032.27,215.37,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,144e4a66c7c7bb6488d2fa6087f9d72ebf73cc4f,0,0,-1,0,1048576,0,0,8.872879,3.89176,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,10556,9b63419d5ba200916420dde2bfe9dbc09bee3a90,6379,21,0,4,4,3491217,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10008.conf,1,32,0,0,38644392,36.85,41517056,39.59,38704616,36.91,99.84,12615400,531608,26028992,68.29,38478488,38752256,41934848,58986446848,54.94,37888,37,0,0,0,2306867200,2.15,volatile-lfu,1.01,273768,1.08,3182592,0.99,-417792,1.08,3075768,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630881149,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,63152,71500014,5048972,4409.57,313.08,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,30a9ac08a5028c80523f53b3c0b047bff73a348e,0,0,-1,0,1048576,0,0,8.429263,4.001932,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,10820,45c5a2bc32231257004b61f7ce77f2425a1661d8,6379,22,0,17,17,3491246,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10009.conf,1,32,0,0,38644392,36.85,42045440,40.1,38704616,36.91,99.84,12615400,531608,26028992,68.29,38658336,38932480,42209280,58986446848,54.94,37888,37,0,0,0,2726297600,2.54,allkeys-lfu,1.01,274144,1.08,3276800,1,-163840,1.09,3422832,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630881176,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,2662,71500014,5048972,185.88,13.42,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,307b9d5752b579fa3aeae34c2e3f15655cd4232c,0,0,-1,0,1048576,0,0,8.691317,4.018347,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,11087,2b5f215f19811886172c99e4e165cb22dae1fe48,6379,22,0,12,12,3491274,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10010.conf,1,32,0,0,38644392,36.85,42029056,40.08,38704616,36.91,99.84,12615400,531608,26028992,68.29,38658192,38932480,42209280,58986446848,54.94,37888,37,0,0,0,1992294400,1.86,allkeys-lfu,1.01,274288,1.08,3276800,1,-180224,1.09,3406448,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630881204,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,30971,71500014,5048972,2162.58,153.66,0,0,0,0,0,0,0,0,742,499258,0,0,0,0,0,0,0,0,0,master,0,2f6a95f76d6697dbf95d6516450f232ca922175a,0,0,-1,0,1048576,0,0,8.782151,4.178711,0,0,0,249666,0,0
6.2.1,0,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,11405,8f9b4103fba9a10389ccab1fb0d9d6f4bc7fe114,6379,22,0,8,8,3491302,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile/config10011.conf,1,32,0,0,38644392,36.85,42057728,40.11,38704616,36.91,99.84,12615400,531608,26028992,68.29,38658000,38932480,42209280,58986446848,54.94,37888,37,0,0,0,1887436800,1.76,volatile-lfu,1.01,274480,1.08,3276800,1,-151552,1.09,3435120,0,0,0,0,0,jemalloc-5.1.0,0,0,0,500000,0,1630881232,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,1000000,38655,71500014,5049038,2699.07,191.65,0,0,0,0,0,0,0,0,743,499257,0,0,0,0,0,0,0,0,0,master,0,d4840fc43feb57060bb8f25ac9327b188c8f981b,0,0,-1,0,1048576,0,0,8.581767,3.813556,0,0,0,249666,0,0
