appendonly,appendfsync,auto-aof-rewrite-percentage,auto-aof-rewrite-min-size,no-appendfsync-on-rewrite,aof-rewrite-incremental-fsync,aof-use-rdb-preamble,save0_0,save0_1,save1_0,save1_1,save2_0,save2_1,rdbcompression,rdbchecksum,rdb-save-incremental-fsync,activedefrag,active-defrag-threshold-lower,active-defrag-threshold-upper,active-defrag-cycle-min,active-defrag-cycle-max,maxmemory,maxmemory-policy,maxmemory-samples,lazyfree-lazy-eviction,lazyfree-lazy-expire,lazyfree-lazy-server-del,hash-max-ziplist-entries,hash-max-ziplist-value,activerehashing,hz,dynamic-hz
,,,,,,,868,4,320,58,58,10285,no,yes,no,,,,,,1500mb,volatile-random,5,yes,yes,yes,506,144,no,20,yes
,,,,,,,867,6,258,52,67,9984,no,no,no,,,,,,1500mb,allkeys-lfu,4,yes,no,yes,552,141,no,22,yes
,,,,,,,911,6,319,54,65,9980,no,no,no,,,,,,2900mb,noeviction,5,yes,no,yes,552,185,yes,20,no
,,,,,,,910,4,293,51,61,10016,yes,no,yes,yes,12,83,16,80,1300mb,noeviction,5,yes,yes,no,459,120,no,19,no
,,,,,,,859,5,276,46,59,10402,no,yes,no,yes,15,87,13,82,1100mb,volatile-ttl,4,no,yes,yes,530,109,no,23,no
,,,,,,,904,4,298,71,61,10218,yes,no,no,yes,14,88,15,80,2600mb,noeviction,6,no,yes,no,455,149,no,16,yes
,,,,,,,920,5,262,42,59,10175,no,yes,yes,,,,,,1900mb,volatile-ttl,5,no,yes,no,473,130,no,24,yes
,,,,,,,874,5,292,46,60,9777,yes,no,yes,,,,,,2500mb,allkeys-lru,5,yes,yes,no,530,159,yes,15,yes
,,,,,,,889,5,354,52,67,10432,no,yes,no,,,,,,2800mb,volatile-lfu,5,yes,no,yes,398,135,yes,23,yes
,,,,,,,939,5,244,59,68,10467,yes,yes,yes,yes,18,86,15,82,1100mb,allkeys-lru,5,yes,no,no,534,146,no,19,no
,,,,,,,911,5,326,58,66,10836,yes,yes,yes,yes,16,86,17,79,1200mb,volatile-lru,5,no,no,no,550,162,yes,21,yes
,,,,,,,924,5,376,45,61,10155,no,no,yes,yes,20,83,16,78,1500mb,volatile-ttl,6,yes,no,yes,519,182,yes,17,no
,,,,,,,915,5,292,52,66,9956,no,yes,yes,,,,,,2100mb,volatile-lru,5,yes,yes,yes,435,130,no,20,yes
,,,,,,,906,5,319,59,57,10136,no,yes,yes,,,,,,2200mb,allkeys-lfu,5,yes,no,no,514,152,yes,13,yes
,,,,,,,897,4,272,64,54,9927,yes,yes,no,,,,,,2600mb,volatile-random,4,yes,yes,no,579,158,yes,21,no
,,,,,,,855,4,308,63,55,9244,no,yes,yes,,,,,,2200mb,noeviction,5,no,no,no,492,112,no,21,no
,,,,,,,880,5,207,45,68,9867,no,yes,no,yes,16,84,19,81,1700mb,allkeys-lru,5,yes,no,yes,481,133,yes,15,no
,,,,,,,924,5,326,52,63,9841,yes,yes,no,,,,,,1200mb,volatile-lru,5,yes,yes,no,497,164,yes,19,yes
,,,,,,,864,4,371,60,61,9795,no,no,no,yes,16,84,15,78,2700mb,allkeys-lru,5,no,yes,yes,535,114,no,17,no
,,,,,,,894,4,336,65,62,10311,yes,yes,yes,yes,13,87,16,81,1800mb,allkeys-lru,5,no,yes,no,532,175,yes,21,no
,,,,,,,890,7,285,55,59,9630,no,yes,no,yes,13,84,17,83,1900mb,allkeys-random,5,yes,no,no,546,152,yes,18,yes
,,,,,,,890,5,328,51,51,9723,yes,yes,yes,yes,14,85,15,81,1400mb,allkeys-lru,5,yes,no,no,559,169,yes,20,yes
,,,,,,,919,6,243,63,57,9358,no,no,yes,,,,,,1900mb,allkeys-random,5,yes,yes,no,546,141,no,18,no
,,,,,,,904,5,311,69,61,10591,no,yes,no,,,,,,1500mb,allkeys-random,5,yes,yes,no,535,152,yes,18,yes
,,,,,,,867,5,289,43,60,9621,yes,yes,yes,,,,,,2400mb,noeviction,5,yes,no,no,515,138,yes,20,no
,,,,,,,908,6,266,43,59,10275,no,no,yes,,,,,,1800mb,volatile-random,5,no,yes,no,503,157,yes,19,no
,,,,,,,848,5,249,55,60,9920,no,no,no,yes,16,85,8,81,2400mb,volatile-ttl,5,yes,no,yes,486,147,no,26,yes
,,,,,,,926,6,370,54,56,10063,no,yes,yes,yes,18,86,21,79,2100mb,noeviction,5,no,yes,no,437,142,yes,23,no
,,,,,,,901,4,374,60,61,10051,yes,no,no,,,,,,1600mb,allkeys-lru,5,yes,no,yes,522,135,no,16,no
,,,,,,,901,4,336,55,65,9973,yes,no,no,yes,14,88,13,81,2700mb,allkeys-lru,4,no,yes,no,513,152,yes,24,no
,,,,,,,909,6,308,63,61,9442,yes,yes,yes,yes,16,86,11,79,2500mb,volatile-ttl,5,no,no,no,496,154,no,18,no
,,,,,,,892,4,260,57,57,10249,yes,yes,yes,yes,20,83,17,81,1300mb,noeviction,5,yes,no,yes,499,137,no,20,no
,,,,,,,913,6,320,47,61,9958,yes,no,yes,,,,,,1600mb,allkeys-random,5,no,yes,no,490,140,no,20,yes
,,,,,,,935,5,279,50,66,10151,no,yes,yes,,,,,,1000mb,noeviction,5,no,no,no,524,174,no,23,no
,,,,,,,861,5,289,52,68,10258,no,no,no,,,,,,2400mb,volatile-lru,5,yes,no,yes,528,134,yes,20,no
,,,,,,,905,5,293,59,59,10080,yes,no,yes,yes,18,79,20,82,1000mb,noeviction,5,no,yes,no,510,140,no,21,yes
,,,,,,,876,3,280,54,60,10290,no,yes,yes,,,,,,2500mb,allkeys-lfu,5,yes,yes,no,567,122,no,20,yes
,,,,,,,873,5,337,43,54,10003,yes,no,no,,,,,,2200mb,volatile-random,4,yes,yes,yes,511,128,no,23,yes
,,,,,,,897,5,360,53,62,10537,no,no,yes,,,,,,1600mb,allkeys-lfu,5,no,yes,yes,516,132,yes,17,yes
,,,,,,,908,4,274,41,65,10737,yes,no,yes,,,,,,1900mb,volatile-lfu,5,no,yes,yes,525,161,yes,22,yes
,,,,,,,961,5,319,56,56,10241,yes,no,no,yes,14,85,13,81,1800mb,allkeys-lru,5,no,yes,no,577,147,no,25,yes
,,,,,,,874,6,264,73,57,9773,yes,yes,no,yes,18,84,17,82,2200mb,noeviction,5,no,no,yes,551,131,no,18,no
,,,,,,,886,5,284,58,57,10317,no,no,no,yes,19,86,14,79,1300mb,volatile-random,5,yes,yes,yes,456,118,no,24,no
,,,,,,,889,5,277,57,56,9920,yes,no,yes,,,,,,1400mb,volatile-random,5,no,yes,yes,482,145,no,19,no
,,,,,,,919,5,251,56,60,10576,no,yes,yes,,,,,,2800mb,volatile-lfu,5,no,yes,no,554,145,yes,22,no
,,,,,,,903,6,319,49,59,9926,yes,no,no,yes,14,79,12,77,2400mb,allkeys-lru,5,yes,no,no,537,107,yes,20,yes
,,,,,,,918,5,275,63,62,9577,yes,no,no,yes,15,82,16,82,2500mb,allkeys-random,5,no,yes,no,528,134,yes,22,yes
,,,,,,,912,5,356,54,56,10321,yes,yes,yes,,,,,,2400mb,noeviction,5,yes,no,no,463,156,yes,18,yes
,,,,,,,897,5,316,51,55,10166,yes,no,yes,yes,14,84,17,78,1800mb,volatile-ttl,6,yes,no,yes,472,146,no,26,no
,,,,,,,908,6,322,39,69,9547,no,yes,no,,,,,,1800mb,allkeys-lfu,5,no,no,yes,548,121,yes,18,yes
,,,,,,,873,4,324,62,54,10371,no,yes,yes,yes,13,81,16,77,1800mb,volatile-ttl,5,yes,no,no,525,174,yes,19,yes
,,,,,,,884,5,322,61,67,10030,yes,no,no,,,,,,2300mb,volatile-lfu,5,yes,yes,no,490,170,no,20,yes
,,,,,,,935,5,305,48,62,9796,yes,no,no,,,,,,2200mb,allkeys-lru,5,yes,no,yes,594,124,no,23,yes
,,,,,,,916,5,306,53,59,9580,no,no,yes,yes,15,86,13,80,1200mb,allkeys-lfu,5,yes,yes,yes,505,167,no,23,no
,,,,,,,843,4,268,52,59,9720,yes,yes,no,yes,17,84,13,82,1600mb,volatile-random,5,no,yes,yes,531,146,yes,20,yes
,,,,,,,911,5,319,34,56,10102,no,no,no,yes,13,87,12,80,2600mb,allkeys-lfu,5,no,no,yes,542,162,yes,22,yes
,,,,,,,900,5,260,41,52,10529,yes,yes,no,,,,,,2100mb,volatile-ttl,5,no,no,yes,514,178,yes,16,yes
