appendonly,appendfsync,auto-aof-rewrite-percentage,auto-aof-rewrite-min-size,no-appendfsync-on-rewrite,aof-rewrite-incremental-fsync,aof-use-rdb-preamble,save0_0,save0_1,save1_0,save1_1,save2_0,save2_1,rdbcompression,rdbchecksum,rdb-save-incremental-fsync,activedefrag,active-defrag-threshold-lower,active-defrag-threshold-upper,active-defrag-cycle-min,active-defrag-cycle-max,maxmemory,maxmemory-policy,maxmemory-samples,lazyfree-lazy-eviction,lazyfree-lazy-expire,lazyfree-lazy-server-del,hash-max-ziplist-entries,hash-max-ziplist-value,activerehashing,hz,dynamic-hz
yes,everysec,155,118mb,no,yes,yes,,,,,,,,,,yes,29,74,22,85,1000mb,volatile-lru,7,yes,yes,no,730,184,no,6,no
yes,no,93,244mb,no,yes,yes,,,,,,,,,,,,,,,1800mb,noeviction,6,no,yes,yes,439,216,yes,18,yes
yes,always,175,134mb,no,no,yes,,,,,,,,,,,,,,,2500mb,volatile-lfu,5,yes,yes,yes,387,241,yes,16,yes
yes,no,174,56mb,no,yes,no,,,,,,,,,,yes,19,71,7,79,2100mb,volatile-random,3,yes,yes,yes,475,187,no,2,no
yes,always,145,178mb,no,no,yes,,,,,,,,,,yes,16,73,27,87,1400mb,noeviction,3,yes,no,no,623,33,no,7,no
yes,no,93,247mb,yes,no,no,,,,,,,,,,,,,,,1700mb,allkeys-lfu,7,yes,yes,yes,452,190,yes,7,no
yes,always,124,192mb,yes,no,yes,,,,,,,,,,yes,3,81,25,76,2900mb,volatile-lfu,6,no,yes,no,719,83,yes,8,no
yes,everysec,67,215mb,no,yes,yes,,,,,,,,,,,,,,,1900mb,noeviction,3,no,no,yes,296,65,no,33,no
yes,everysec,98,109mb,yes,yes,no,,,,,,,,,,yes,27,100,19,81,1900mb,noeviction,3,yes,no,no,370,213,yes,11,no
yes,no,87,131mb,yes,yes,yes,,,,,,,,,,,,,,,2700mb,volatile-lru,6,yes,yes,yes,440,172,no,31,no
yes,always,79,40mb,no,no,yes,,,,,,,,,,yes,4,90,20,82,2500mb,volatile-ttl,3,yes,no,no,391,222,yes,9,yes
yes,everysec,163,84mb,yes,no,no,,,,,,,,,,yes,2,97,1,80,2900mb,volatile-lru,7,yes,yes,yes,425,252,no,23,yes
yes,everysec,180,111mb,yes,yes,yes,,,,,,,,,,yes,17,71,29,71,2600mb,volatile-ttl,3,no,no,no,363,207,yes,12,no
yes,always,158,52mb,no,no,no,,,,,,,,,,,,,,,1500mb,volatile-lru,4,yes,no,no,364,209,yes,3,no
yes,everysec,188,106mb,yes,yes,no,,,,,,,,,,,,,,,1700mb,noeviction,3,yes,no,no,309,256,yes,16,yes
yes,no,86,138mb,no,yes,yes,,,,,,,,,,,,,,,1000mb,volatile-lfu,7,no,yes,no,532,176,no,4,yes
yes,no,123,176mb,no,yes,no,,,,,,,,,,,,,,,1000mb,volatile-lfu,3,no,no,no,578,248,yes,5,yes
yes,no,164,67mb,yes,yes,yes,,,,,,,,,,yes,20,89,2,84,1800mb,volatile-ttl,6,no,yes,no,423,139,yes,28,yes
yes,no,190,27mb,no,no,yes,,,,,,,,,,,,,,,1200mb,allkeys-lfu,6,no,no,no,404,27,yes,22,no
yes,always,179,151mb,yes,no,yes,,,,,,,,,,,,,,,2100mb,volatile-lru,3,yes,no,yes,442,174,yes,35,yes
yes,no,117,75mb,yes,no,no,,,,,,,,,,yes,19,86,12,78,1200mb,volatile-lfu,3,no,no,yes,526,213,no,34,yes
yes,no,154,150mb,no,no,yes,,,,,,,,,,yes,16,87,9,86,2200mb,allkeys-random,5,no,no,no,387,115,yes,2,no
yes,everysec,167,75mb,no,no,no,,,,,,,,,,,,,,,1400mb,allkeys-lfu,3,yes,yes,yes,707,217,no,9,yes
