appendonly,appendfsync,auto-aof-rewrite-percentage,auto-aof-rewrite-min-size,no-appendfsync-on-rewrite,aof-rewrite-incremental-fsync,aof-use-rdb-preamble,save0_0,save0_1,save1_0,save1_1,save2_0,save2_1,rdbcompression,rdbchecksum,rdb-save-incremental-fsync,activedefrag,active-defrag-threshold-lower,active-defrag-threshold-upper,active-defrag-cycle-min,active-defrag-cycle-max,maxmemory,maxmemory-policy,maxmemory-samples,lazyfree-lazy-eviction,lazyfree-lazy-expire,lazyfree-lazy-server-del,hash-max-ziplist-entries,hash-max-ziplist-value,activerehashing,hz,dynamic-hz
,,,,,,,1056,4,114,13,57,8497,yes,no,no,,,,,,2000mb,volatile-lru,6,yes,no,no,615,232,no,23,no
,,,,,,,805,2,343,23,47,8561,no,yes,no,,,,,,1200mb,allkeys-lru,7,yes,no,no,496,156,yes,36,no
,,,,,,,776,6,194,46,61,11337,no,yes,yes,yes,30,77,2,71,1800mb,volatile-random,5,no,yes,no,494,135,no,37,no
,,,,,,,742,9,295,59,57,8989,yes,yes,yes,,,,,,2500mb,allkeys-lru,7,no,no,no,491,76,yes,16,no
,,,,,,,985,5,225,90,41,11978,no,no,no,,,,,,2100mb,volatile-lru,5,yes,no,yes,332,80,yes,21,yes
,,,,,,,792,8,184,34,89,10683,yes,no,yes,yes,1,82,10,72,2300mb,volatile-ttl,4,yes,yes,no,277,239,no,28,yes
,,,,,,,892,6,162,13,30,8271,yes,no,yes,,,,,,2900mb,volatile-ttl,6,no,yes,yes,385,244,yes,7,no
,,,,,,,891,8,300,31,69,9885,no,yes,yes,,,,,,1000mb,volatile-random,7,yes,no,yes,383,181,yes,15,yes
,,,,,,,838,7,465,100,62,11968,yes,no,no,yes,30,76,15,87,1600mb,allkeys-lru,4,no,yes,yes,664,171,yes,12,no
,,,,,,,747,1,285,26,67,10536,no,yes,yes,yes,1,100,6,89,2000mb,volatile-lfu,3,yes,yes,yes,706,117,no,27,no
,,,,,,,1035,8,486,39,90,11000,no,yes,no,,,,,,1100mb,volatile-lru,3,no,yes,yes,280,241,no,7,yes
,,,,,,,1069,1,328,88,88,8036,no,no,no,,,,,,2800mb,volatile-lfu,5,yes,yes,yes,360,215,yes,14,no
,,,,,,,866,2,308,67,83,11482,yes,no,no,,,,,,2400mb,volatile-lru,5,yes,no,no,513,59,no,30,no
,,,,,,,993,4,414,22,33,9631,yes,yes,yes,,,,,,2000mb,allkeys-lru,3,no,yes,yes,401,52,yes,13,no
,,,,,,,916,4,359,71,83,8940,no,yes,yes,,,,,,1500mb,volatile-lfu,3,no,no,no,693,103,no,4,yes
,,,,,,,713,4,159,67,59,11256,yes,no,yes,,,,,,1300mb,allkeys-lru,3,yes,no,no,355,131,no,1,yes
,,,,,,,1089,2,286,99,45,11081,yes,no,yes,yes,25,73,25,72,1700mb,allkeys-lfu,3,no,no,yes,742,247,no,10,yes
,,,,,,,1007,3,380,66,42,9336,no,no,no,,,,,,1800mb,volatile-ttl,4,no,yes,no,553,174,yes,30,yes
,,,,,,,936,1,473,91,81,9628,no,yes,yes,yes,21,73,1,77,2800mb,allkeys-lfu,5,no,no,yes,594,52,yes,11,yes
,,,,,,,896,7,418,12,38,9896,yes,no,yes,,,,,,1100mb,allkeys-lru,5,no,yes,yes,437,17,yes,7,yes
,,,,,,,836,1,394,67,52,9762,yes,no,no,yes,15,95,30,87,2300mb,volatile-lru,6,no,no,no,563,250,no,31,yes
,,,,,,,1071,3,326,13,58,9753,no,yes,yes,,,,,,1100mb,allkeys-lru,3,yes,yes,no,549,256,no,14,no
,,,,,,,761,5,137,85,62,9353,no,yes,yes,yes,5,96,11,70,2000mb,noeviction,4,yes,no,yes,700,67,yes,23,no
,,,,,,,1096,5,253,23,65,10391,no,no,no,,,,,,1000mb,volatile-ttl,3,yes,no,yes,397,99,no,38,no
,,,,,,,803,9,438,15,82,9802,no,no,no,,,,,,1800mb,allkeys-lru,4,no,no,yes,436,180,yes,16,no
,,,,,,,750,3,178,29,76,10246,no,no,yes,,,,,,1200mb,volatile-ttl,3,yes,yes,no,666,69,no,37,yes
