Sets_Ops/sec,Sets_Hits/sec,Sets_Misses/sec,Sets_Avg_Latency,Sets_p50_Latency,Sets_p99_Latency,Sets_p100_Latency,Sets_KB/sec,Gets_Ops/sec,Gets_Hits/sec,Gets_Misses/sec,Gets_Avg_Latency,Gets_p50_Latency,Gets_p99_Latency,Gets_p100_Latency,Gets_KB/sec,Waits_Ops/sec,Waits_Hits/sec,Waits_Misses/sec,Waits_Avg_Latency,Waits_p50_Latency,Waits_p99_Latency,Waits_p100_Latency,Waits_KB/sec,Totals_Ops/sec,Totals_Hits/sec,Totals_Misses/sec,Totals_Avg_Latency,Totals_p50_Latency,Totals_p99_Latency,Totals_p100_Latency,Totals_KB/sec
30822.7,,,0.031,3371.23,30822.7,45.74,30776.96,0.03,1086.78,0,,,0,,61645.41,45.74,30776.96,0.031,4458.02,,,,,,,,,,,,
31635.16,,,0.031,3460.1,31635.16,46.95,31588.21,0.03,1115.43,0,,,0,,63270.32,46.95,31588.21,0.03,4575.52,,,,,,,,,,,,
31801.24,,,0.031,3478.26,31801.24,47.19,31754.05,0.03,1121.28,0,,,0,,63602.49,47.19,31754.05,0.03,4599.55,,,,,,,,,,,,
31840,,,0.031,3482.5,31840,47.25,31792.74,0.03,1122.65,0,,,0,,63679.99,47.25,31792.74,0.03,4605.15,,,,,,,,,,,,
30046.15,,,0.032,3286.3,30046.15,44.65,30001.5,0.031,1059.41,0,,,0,,60092.3,44.65,30001.5,0.032,4345.7,,,,,,,,,,,,
30612.16,,,0.032,3348.21,30612.16,45.43,30566.73,0.031,1079.36,0,,,0,,61224.33,45.43,30566.73,0.031,4427.56,,,,,,,,,,,,
31736.19,,,0.031,3471.15,31736.19,47.1,31689.1,0.03,1118.99,0,,,0,,63472.39,47.1,31689.1,0.03,4590.14,,,,,,,,,,,,
31574.64,,,0.031,3453.48,31574.64,46.86,31527.78,0.03,1113.29,0,,,0,,63149.28,46.86,31527.78,0.03,4566.77,,,,,,,,,,,,
31200.87,,,0.031,3412.6,31200.87,46.3,31154.57,0.03,1100.12,0,,,0,,62401.74,46.3,31154.57,0.031,4512.71,,,,,,,,,,,,
31492.2,,,0.031,3444.46,31492.2,46.73,31445.47,0.03,1110.39,0,,,0,,62984.41,46.73,31445.47,0.03,4554.85,,,,,,,,,,,,
31619.52,,,0.031,3458.39,31619.52,46.92,31572.6,0.03,1114.88,0,,,0,,63239.05,46.92,31572.6,0.03,4573.26,,,,,,,,,,,,
30427.86,,,0.032,3328.05,30427.86,45.15,30382.71,0.031,1072.86,0,,,0,,60855.73,45.15,30382.71,0.031,4400.91,,,,,,,,,,,,
30686.1,,,0.032,3356.29,30686.1,45.54,30640.56,0.031,1081.97,0,,,0,,61372.21,45.54,30640.56,0.031,4438.26,,,,,,,,,,,,
31234.66,,,0.031,3416.29,31234.66,46.41,31188.24,0.03,1101.31,0,,,0,,62469.31,46.41,31188.24,0.031,4517.6,,,,,,,,,,,,
31958.31,,,0.03,3495.44,31958.31,47.43,31910.88,0.029,1126.82,0,,,0,,63916.62,47.43,31910.88,0.03,4622.26,,,,,,,,,,,,
31465.65,,,0.031,3441.56,31465.65,46.7,31418.96,0.03,1109.45,0,,,0,,62931.31,46.7,31418.96,0.03,4551.01,,,,,,,,,,,,
