redis_version,redis_git_sha1,redis_git_dirty,redis_build_id,redis_mode,os,arch_bits,multiplexing_api,atomicvar_api,gcc_version,process_id,run_id,tcp_port,uptime_in_seconds,uptime_in_days,hz,configured_hz,lru_clock,executable,config_file,connected_clients,client_recent_max_input_buffer,client_recent_max_output_buffer,blocked_clients,used_memory,used_memory_human,used_memory_rss,used_memory_rss_human,used_memory_peak,used_memory_peak_human,used_memory_peak_perc,used_memory_overhead,used_memory_startup,used_memory_dataset,used_memory_dataset_perc,allocator_allocated,allocator_active,allocator_resident,total_system_memory,total_system_memory_human,used_memory_lua,used_memory_lua_human,used_memory_scripts,used_memory_scripts_human,number_of_cached_scripts,maxmemory,maxmemory_human,maxmemory_policy,allocator_frag_ratio,allocator_frag_bytes,allocator_rss_ratio,allocator_rss_bytes,rss_overhead_ratio,rss_overhead_bytes,mem_fragmentation_ratio,mem_fragmentation_bytes,mem_not_counted_for_evict,mem_replication_backlog,mem_clients_slaves,mem_clients_normal,mem_aof_buffer,mem_allocator,active_defrag_running,lazyfree_pending_objects,loading,rdb_changes_since_last_save,rdb_bgsave_in_progress,rdb_last_save_time,rdb_last_bgsave_status,rdb_last_bgsave_time_sec,rdb_current_bgsave_time_sec,rdb_last_cow_size,aof_enabled,aof_rewrite_in_progress,aof_rewrite_scheduled,aof_last_rewrite_time_sec,aof_current_rewrite_time_sec,aof_last_bgrewrite_status,aof_last_write_status,aof_last_cow_size,total_connections_received,total_commands_processed,instantaneous_ops_per_sec,total_net_input_bytes,total_net_output_bytes,instantaneous_input_kbps,instantaneous_output_kbps,rejected_connections,sync_full,sync_partial_ok,sync_partial_err,expired_keys,expired_stale_perc,expired_time_cap_reached_count,evicted_keys,keyspace_hits,keyspace_misses,pubsub_channels,pubsub_patterns,latest_fork_usec,migrate_cached_sockets,slave_expires_tracked_keys,active_defrag_hits,active_defrag_misses,active_defrag_key_hits,active_defrag_key_misses,role,connected_slaves,master_replid,master_replid2,master_repl_offset,second_repl_offset,repl_backlog_active,repl_backlog_size,repl_backlog_first_byte_offset,repl_backlog_histlen,used_cpu_sys,used_cpu_user,used_cpu_sys_children,used_cpu_user_children,cluster_enabled,db0:keys,expires,avg_ttl
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,15005,c814578d4132905add5eebf05203836d9679f390,6379,6,0,17,17,4620146,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfiletest/rdb1/config_rdb1_lightgbm.conf,1,32,0,0,1180920,1.13,4071424,3.88,1241144,1.18,95.15,797192,531656,383728,59.10,1196824,1445888,4472832,58986446848,54.94,37888,37.00,0,0,0,2923429888,2.72,noeviction,1.21,249064,3.09,3026944,0.91,-401408,3.51,2912288,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1632010092,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,18285,1110014,100000,991.04,89.29,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,c56ef3f13fce776a0608bc8f5153aa4fcc05c76d,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.189073,0.067201,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,15127,67f8dbdb6627b1d6805f478687981504ff45ccd2,6379,6,0,17,17,4620165,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfiletest/rdb1/config_rdb1_lightgbm.conf,1,32,0,0,1180920,1.13,4063232,3.88,1241144,1.18,95.15,797192,531656,383728,59.10,1196824,1445888,4411392,58986446848,54.94,37888,37.00,0,0,0,2923429888,2.72,noeviction,1.21,249064,3.05,2965504,0.92,-348160,3.51,2904096,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1632010111,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,18820,1110014,100000,1020.03,91.90,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,d37412cf6cc12456f1c08f3477d44169e78bd08b,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.209903,0.096332,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,15219,705efd2dec8c780dfe56f31a583dc70d6662e2fc,6379,6,0,17,17,4620178,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfiletest/rdb1/config_rdb1_lightgbm.conf,1,32,0,0,1180920,1.13,4050944,3.86,1241144,1.18,95.15,797192,531656,383728,59.10,1196824,1445888,4411392,58986446848,54.94,37888,37.00,0,0,0,2923429888,2.72,noeviction,1.21,249064,3.05,2965504,0.92,-360448,3.49,2891808,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1632010124,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,17870,1110014,100000,968.54,87.26,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,2993de43cc9b255c77e233abdeab611e460b2871,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.189810,0.070929,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,15296,a9a769c998a4caf0d5204810329e7dfa8feaea0e,6379,6,0,17,17,4620190,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfiletest/rdb1/config_rdb1_lightgbm.conf,1,32,0,0,1180920,1.13,4063232,3.88,1241144,1.18,95.15,797192,531656,383728,59.10,1196824,1445888,4472832,58986446848,54.94,37888,37.00,0,0,0,2923429888,2.72,noeviction,1.21,249064,3.09,3026944,0.91,-409600,3.51,2904096,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1632010136,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,18158,1110014,100000,984.15,88.67,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,332e019b583c16d47f32deb98e7c99cc3172c75d,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.185870,0.072402,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,15391,3367d1adeff2a7d24a82a9fdafb57a9a48ff05f2,6379,6,0,17,17,4620202,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfiletest/rdb1/config_rdb1_lightgbm.conf,1,32,0,0,1180920,1.13,4063232,3.88,1241144,1.18,95.15,797192,531656,383728,59.10,1196824,1445888,4472832,58986446848,54.94,37888,37.00,0,0,0,2923429888,2.72,noeviction,1.21,249064,3.09,3026944,0.91,-409600,3.51,2904096,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1632010148,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,18150,1110014,100000,983.72,88.63,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,a4f87c13d024478e140a5cc0f1dc8286953848af,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.191410,0.079202,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,15501,cf76a2865694eafa4308c41f357b4365aa3478a7,6379,6,0,17,17,4620214,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfiletest/rdb1/config_rdb1_lightgbm.conf,1,32,0,0,1180920,1.13,4067328,3.88,1241144,1.18,95.15,797192,531656,383728,59.10,1196824,1445888,4472832,58986446848,54.94,37888,37.00,0,0,0,2923429888,2.72,noeviction,1.21,249064,3.09,3026944,0.91,-405504,3.51,2908192,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1632010160,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,17972,1110014,100000,974.10,87.76,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,f4312a92df55d9df1a08d13e0814927709c6f08a,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.198475,0.100293,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,15603,e183babbdc313ed197749525c7c4d640279e73e9,6379,6,0,17,17,4620226,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfiletest/rdb1/config_rdb1_lightgbm.conf,1,32,0,0,1180920,1.13,4063232,3.88,1241144,1.18,95.15,797192,531656,383728,59.10,1196824,1445888,4472832,58986446848,54.94,37888,37.00,0,0,0,2923429888,2.72,noeviction,1.21,249064,3.09,3026944,0.91,-409600,3.51,2904096,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1632010172,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,18804,1110014,100000,1019.19,91.82,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,69bed2ffe1081e10f319d5b3492b904ebcce27b1,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.168517,0.092887,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,15709,4087cc06dab365ef707e0a5985b190bd03312275,6379,6,0,17,17,4620238,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfiletest/rdb1/config_rdb1_lightgbm.conf,1,32,0,0,1180920,1.13,4059136,3.87,1241144,1.18,95.15,797192,531656,383728,59.10,1196824,1445888,4411392,58986446848,54.94,37888,37.00,0,0,0,2923429888,2.72,noeviction,1.21,249064,3.05,2965504,0.92,-352256,3.50,2900000,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1632010184,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,18245,1110014,100000,988.86,89.09,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,0166b1c176ca4e55eaea26c0ee9ce2ecc5b73459,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.193883,0.109450,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,15828,82e356d93da18bc2481ea901eb25c2659c2e1f11,6379,6,0,17,17,4620250,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfiletest/rdb1/config_rdb1_lightgbm.conf,1,32,0,0,1180920,1.13,4071424,3.88,1241144,1.18,95.15,797192,531656,383728,59.10,1196824,1445888,4472832,58986446848,54.94,37888,37.00,0,0,0,2923429888,2.72,noeviction,1.21,249064,3.09,3026944,0.91,-401408,3.51,2912288,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1632010196,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,18035,1110014,100000,977.49,88.06,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,d06bbc1e1a17be5bd9141b99254a7a4b9bfb405a,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.181183,0.090591,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,15982,2ad8f78c8796608ce50fe80b53252445713df9d7,6379,6,0,17,17,4620262,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfiletest/rdb1/config_rdb1_lightgbm.conf,1,32,0,0,1180920,1.13,4050944,3.86,1241144,1.18,95.15,797192,531656,383728,59.10,1196824,1445888,4411392,58986446848,54.94,37888,37.00,0,0,0,2923429888,2.72,noeviction,1.21,249064,3.05,2965504,0.92,-360448,3.49,2891808,0,0,0,0,0,jemalloc-5.1.0,0,0,0,10000,0,1632010208,ok,-1,-1,0,0,0,0,-1,-1,ok,ok,0,3,20000,18699,1110014,100000,1013.49,91.31,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,bb59b354948871ce7adda3178d5caf6b96b32ae1,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.185679,0.076693,0.000000,0.000000,0,5000,0,0
