appendonly,appendfsync,auto-aof-rewrite-percentage,auto-aof-rewrite-min-size,no-appendfsync-on-rewrite,aof-rewrite-incremental-fsync,aof-use-rdb-preamble,save0_0,save0_1,save1_0,save1_1,save2_0,save2_1,rdbcompression,rdbchecksum,rdb-save-incremental-fsync,activedefrag,active-defrag-threshold-lower,active-defrag-threshold-upper,active-defrag-cycle-min,active-defrag-cycle-max,maxmemory,maxmemory-policy,maxmemory-samples,lazyfree-lazy-eviction,lazyfree-lazy-expire,lazyfree-lazy-server-del,hash-max-ziplist-entries,hash-max-ziplist-value,activerehashing,hz,dynamic-hz
,,,,,,,805,5,178,91,36,9230,no,no,no,yes,23,84,24,72,2700mb,volatile-lru,5,no,yes,yes,258,253,no,7,yes
,,,,,,,1097,3,499,33,82,9410,yes,no,no,yes,25,100,13,80,2200mb,allkeys-random,3,yes,yes,yes,360,226,yes,32,yes
,,,,,,,1018,2,497,23,36,8649,yes,no,yes,yes,17,79,30,71,1700mb,allkeys-lfu,3,yes,yes,yes,364,136,yes,40,no
,,,,,,,858,5,423,14,80,8407,no,no,no,yes,12,77,17,89,1000mb,noeviction,3,no,yes,no,417,173,no,37,no
,,,,,,,727,6,230,54,61,8327,yes,no,no,yes,9,87,13,85,1900mb,allkeys-random,4,no,yes,no,522,141,yes,30,yes
,,,,,,,811,3,101,36,52,10336,yes,yes,yes,,,,,,2800mb,volatile-lfu,7,yes,no,no,374,174,no,17,no
,,,,,,,777,6,239,17,61,8815,yes,yes,yes,,,,,,1800mb,volatile-lru,6,yes,yes,no,555,245,no,6,no
,,,,,,,986,2,433,21,36,11536,yes,no,yes,yes,27,76,28,83,2200mb,volatile-lfu,4,yes,no,yes,423,89,no,4,yes
,,,,,,,804,1,222,88,89,10416,yes,no,no,yes,3,89,24,87,2600mb,allkeys-lfu,7,no,yes,yes,730,232,no,17,yes
,,,,,,,862,5,433,83,73,9433,yes,yes,no,yes,16,75,13,81,1900mb,allkeys-lfu,3,yes,no,yes,258,254,no,12,yes
,,,,,,,1086,6,236,97,57,8968,yes,no,no,yes,6,96,7,89,1800mb,volatile-lfu,6,no,yes,no,533,35,no,8,no
,,,,,,,744,7,370,38,30,8448,yes,yes,yes,yes,9,76,20,73,1300mb,allkeys-lru,7,yes,yes,yes,722,136,yes,1,no
,,,,,,,819,9,471,58,83,9009,no,no,yes,,,,,,1900mb,allkeys-random,3,no,no,yes,303,253,no,8,yes
,,,,,,,757,9,334,73,74,8100,yes,no,no,,,,,,2700mb,allkeys-lfu,7,yes,no,yes,403,156,no,25,no
,,,,,,,866,9,405,26,38,9400,yes,no,no,yes,14,85,7,74,2300mb,allkeys-lfu,4,no,no,no,677,58,yes,19,no
,,,,,,,843,6,307,63,78,11068,yes,yes,no,yes,19,76,9,90,2500mb,noeviction,5,yes,no,yes,431,149,yes,17,yes
,,,,,,,745,3,274,89,90,10152,no,no,no,,,,,,1600mb,volatile-lru,6,no,yes,no,552,68,yes,8,yes
,,,,,,,767,8,428,88,56,11084,yes,yes,no,yes,18,98,28,86,2800mb,volatile-ttl,7,no,yes,no,729,147,no,16,no
,,,,,,,959,3,381,74,80,9494,no,yes,no,yes,10,100,9,84,1800mb,allkeys-random,3,yes,yes,yes,375,128,no,7,yes
,,,,,,,770,1,102,10,71,8026,no,yes,yes,,,,,,2100mb,allkeys-lfu,3,no,yes,yes,648,31,yes,32,no
,,,,,,,1052,4,240,100,76,9306,yes,no,yes,yes,27,94,7,83,2700mb,volatile-random,7,no,no,yes,499,110,yes,19,no
,,,,,,,707,1,417,55,89,9724,yes,no,no,yes,5,79,15,90,1000mb,allkeys-random,5,no,yes,no,544,113,yes,8,no
,,,,,,,772,1,385,74,53,11922,no,no,yes,yes,21,73,7,84,1400mb,volatile-random,3,yes,yes,no,665,185,yes,28,no
,,,,,,,835,6,443,45,78,8749,yes,no,no,,,,,,1900mb,volatile-random,5,yes,no,yes,309,218,no,5,yes
,,,,,,,931,4,140,31,31,10004,yes,yes,yes,yes,25,94,10,87,2700mb,noeviction,3,no,no,no,495,128,no,5,yes
,,,,,,,814,9,123,91,36,8243,no,yes,yes,yes,17,72,23,86,1100mb,volatile-lfu,7,yes,yes,no,337,60,no,35,yes
,,,,,,,953,8,191,41,45,10731,no,no,yes,yes,9,71,8,74,1500mb,volatile-lru,7,yes,no,yes,489,60,no,32,no
,,,,,,,1052,5,496,23,50,10921,no,no,yes,,,,,,2000mb,allkeys-random,7,yes,yes,yes,460,168,yes,24,yes
,,,,,,,1008,6,123,28,35,10770,yes,yes,no,,,,,,2900mb,allkeys-lru,7,yes,no,yes,467,52,no,33,yes
,,,,,,,1009,9,170,66,82,9192,no,no,no,yes,10,84,10,90,2600mb,noeviction,6,no,yes,no,556,219,yes,25,yes
