Sets_Ops/sec,Sets_Hits/sec,Sets_Misses/sec,Sets_Avg_Latency,Sets_p50_Latency,Sets_p99_Latency,Sets_p100_Latency,Sets_KB/sec,Gets_Ops/sec,Gets_Hits/sec,Gets_Misses/sec,Gets_Avg_Latency,Gets_p50_Latency,Gets_p99_Latency,Gets_p100_Latency,Gets_KB/sec,Waits_Ops/sec,Waits_Hits/sec,Waits_Misses/sec,Waits_Avg_Latency,Waits_p50_Latency,Waits_p99_Latency,Waits_p100_Latency,Waits_KB/sec,Totals_Ops/sec,Totals_Hits/sec,Totals_Misses/sec,Totals_Avg_Latency,Totals_p50_Latency,Totals_p99_Latency,Totals_p100_Latency,Totals_KB/sec
15529.63,,,0.06436,0.05500,0.26300,0.43900,1698.55,15529.63,23.08,15506.55,0.06200,0.05500,0.26300,0.43900,623.28,0.00,,,,,,,,31059.25,23.08,15506.55,0.06318,0.05500,0.26300,0.43900,2321.83
15689.65,,,0.06385,0.05500,0.26300,0.43100,1716.06,15689.65,23.28,15666.37,0.06145,0.05500,0.25500,0.43100,629.70,0.00,,,,,,,,31379.30,23.28,15666.37,0.06265,0.05500,0.26300,0.43100,2345.76
15416.07,,,0.06484,0.05500,0.27100,0.44700,1686.13,15416.07,22.91,15393.16,0.06249,0.05500,0.26300,0.43900,618.72,0.00,,,,,,,,30832.13,22.91,15393.16,0.06366,0.05500,0.27100,0.43900,2304.85
13870.99,,,0.07211,0.06300,0.31900,0.48700,1517.14,13870.99,20.61,13850.37,0.06927,0.05500,0.31900,0.48700,556.71,0.00,,,,,,,,27741.97,20.61,13850.37,0.07069,0.05500,0.31900,0.48700,2073.85
15575.11,,,0.06440,0.05500,0.26300,0.43900,1703.53,15575.11,23.14,15551.97,0.06203,0.05500,0.26300,0.43100,625.10,0.00,,,,,,,,31150.22,23.14,15551.97,0.06322,0.05500,0.26300,0.43100,2328.63
14747.84,,,0.06775,0.05500,0.31100,0.48700,1613.05,14747.84,21.92,14725.93,0.06519,0.05500,0.30300,0.48700,591.90,0.00,,,,,,,,29495.68,21.92,14725.93,0.06647,0.05500,0.30300,0.48700,2204.95
14787.32,,,0.06778,0.05500,0.29500,0.47100,1617.36,14787.32,21.94,14765.37,0.06494,0.05500,0.28700,0.46300,593.48,0.00,,,,,,,,29574.63,21.94,14765.37,0.06636,0.05500,0.29500,0.47100,2210.85
14936.21,,,0.06692,0.06300,0.27100,0.43900,1633.65,14936.21,22.17,14914.04,0.06429,0.05500,0.26300,0.43100,599.46,0.00,,,,,,,,29872.42,22.17,14914.04,0.06561,0.05500,0.27100,0.43900,2233.11
15965.39,,,0.06270,0.05500,0.24700,0.41500,1746.21,15965.39,23.72,15941.66,0.06024,0.05500,0.24700,0.40700,640.77,0.00,,,,,,,,31930.77,23.72,15941.66,0.06147,0.05500,0.24700,0.41500,2386.98
15986.88,,,0.06243,0.05500,0.24700,0.40700,1748.56,15986.88,23.76,15963.12,0.06009,0.05500,0.23900,0.40700,641.63,0.00,,,,,,,,31973.75,23.76,15963.12,0.06126,0.05500,0.23900,0.40700,2390.20
15991.17,,,0.06270,0.05500,0.25500,0.42300,1749.03,15991.17,23.73,15967.44,0.06027,0.05500,0.24700,0.41500,641.80,0.00,,,,,,,,31982.34,23.73,15967.44,0.06149,0.05500,0.24700,0.41500,2390.84
15047.70,,,0.06656,0.05500,0.27900,0.44700,1645.84,15047.70,22.33,15025.37,0.06397,0.05500,0.27100,0.44700,603.93,0.00,,,,,,,,30095.39,22.33,15025.37,0.06527,0.05500,0.27900,0.44700,2249.78
15780.79,,,0.06336,0.05500,0.26300,0.43100,1726.02,15780.79,23.45,15757.34,0.06099,0.05500,0.25500,0.42300,633.36,0.00,,,,,,,,31561.58,23.45,15757.34,0.06218,0.05500,0.25500,0.43100,2359.38
14848.84,,,0.06744,0.05500,0.29500,0.47100,1624.09,14848.84,22.04,14826.80,0.06485,0.05500,0.28700,0.46300,595.95,0.00,,,,,,,,29697.68,22.04,14826.80,0.06614,0.05500,0.29500,0.47100,2220.05
15276.55,,,0.06558,0.06300,0.26300,0.43100,1670.87,15276.55,22.67,15253.88,0.06307,0.05500,0.25500,0.42300,613.12,0.00,,,,,,,,30553.10,22.67,15253.88,0.06432,0.05500,0.26300,0.43100,2283.99
15098.54,,,0.06612,0.05500,0.28700,0.45500,1651.40,15098.54,22.41,15076.13,0.06382,0.05500,0.27900,0.44700,605.98,0.00,,,,,,,,30197.08,22.41,15076.13,0.06497,0.05500,0.27900,0.45500,2257.38
14426.15,,,0.06952,0.05500,0.31900,0.48700,1577.86,14426.15,21.41,14404.74,0.06678,0.05500,0.31100,0.48700,578.99,0.00,,,,,,,,28852.30,21.41,14404.74,0.06815,0.05500,0.31100,0.48700,2156.85
14676.14,,,0.06811,0.06300,0.28700,0.45500,1605.20,14676.14,21.78,14654.36,0.06545,0.05500,0.28700,0.45500,589.02,0.00,,,,,,,,29352.28,21.78,14654.36,0.06678,0.05500,0.28700,0.45500,2194.23
14577.36,,,0.06853,0.06300,0.29500,0.47100,1594.40,14577.36,21.63,14555.73,0.06574,0.05500,0.28700,0.46300,585.06,0.00,,,,,,,,29154.72,21.63,14555.73,0.06713,0.05500,0.29500,0.46300,2179.46
15301.32,,,0.06544,0.05500,0.27900,0.44700,1673.58,15301.32,22.71,15278.61,0.06290,0.05500,0.27100,0.44700,614.11,0.00,,,,,,,,30602.63,22.71,15278.61,0.06417,0.05500,0.27100,0.44700,2287.70
15765.12,,,0.06357,0.05500,0.25500,0.42300,1724.31,15765.12,23.43,15741.69,0.06091,0.05500,0.24700,0.40700,632.73,0.00,,,,,,,,31530.24,23.43,15741.69,0.06224,0.05500,0.24700,0.41500,2357.04
15477.70,,,0.06484,0.05500,0.25500,0.42300,1692.87,15477.70,22.97,15454.73,0.06203,0.05500,0.24700,0.41500,621.19,0.00,,,,,,,,30955.40,22.97,15454.73,0.06343,0.05500,0.24700,0.41500,2314.07
16179.95,,,0.06177,0.05500,0.23100,0.39900,1769.68,16179.95,24.04,16155.91,0.05950,0.05500,0.23100,0.39900,649.38,0.00,,,,,,,,32359.90,24.04,16155.91,0.06063,0.05500,0.23100,0.39900,2419.06
15971.70,,,0.06251,0.05500,0.24700,0.41500,1746.90,15971.70,23.77,15947.93,0.06007,0.05500,0.23900,0.40700,641.02,0.00,,,,,,,,31943.39,23.77,15947.93,0.06129,0.05500,0.24700,0.40700,2387.93
15937.68,,,0.06295,0.05500,0.25500,0.42300,1743.18,15937.68,23.68,15913.99,0.06060,0.05500,0.24700,0.41500,639.66,0.00,,,,,,,,31875.35,23.68,15913.99,0.06177,0.05500,0.24700,0.41500,2382.84
15554.49,,,0.06439,0.05500,0.25500,0.41500,1701.27,15554.49,23.11,15531.37,0.06190,0.05500,0.24700,0.40700,624.28,0.00,,,,,,,,31108.98,23.11,15531.37,0.06314,0.05500,0.24700,0.40700,2325.55
16137.23,,,0.06200,0.05500,0.23100,0.39100,1765.01,16137.23,24.01,16113.22,0.05940,0.05500,0.22300,0.38300,647.67,0.00,,,,,,,,32274.46,24.01,16113.22,0.06070,0.05500,0.22300,0.39100,2412.68
15985.92,,,0.06258,0.05500,0.24700,0.41500,1748.46,15985.92,23.76,15962.16,0.06025,0.05500,0.23900,0.40700,641.59,0.00,,,,,,,,31971.83,23.76,15962.16,0.06141,0.05500,0.24700,0.41500,2390.05
15858.71,,,0.06313,0.05500,0.24700,0.40700,1734.55,15858.71,23.53,15835.18,0.06068,0.05500,0.23900,0.39900,636.48,0.00,,,,,,,,31717.42,23.53,15835.18,0.06190,0.05500,0.23900,0.40700,2371.03
15902.88,,,0.06295,0.05500,0.24700,0.39900,1739.38,15902.88,23.60,15879.28,0.06054,0.05500,0.23900,0.39900,638.26,0.00,,,,,,,,31805.77,23.60,15879.28,0.06174,0.05500,0.24700,0.39900,2377.64
15493.55,,,0.06457,0.05500,0.26300,0.43100,1694.61,15493.55,23.02,15470.52,0.06222,0.05500,0.25500,0.42300,621.83,0.00,,,,,,,,30987.09,23.02,15470.52,0.06339,0.05500,0.25500,0.42300,2316.44
14392.04,,,0.06951,0.05500,0.31900,0.47900,1574.13,14392.04,21.39,14370.65,0.06698,0.05500,0.31100,0.47900,577.62,0.00,,,,,,,,28784.07,21.39,14370.65,0.06825,0.05500,0.31100,0.47900,2151.75
13639.10,,,0.07354,0.05500,0.33500,0.50300,1491.78,13639.10,20.29,13618.81,0.07098,0.05500,0.33500,0.50300,547.40,0.00,,,,,,,,27278.20,20.29,13618.81,0.07226,0.05500,0.33500,0.50300,2039.18
14573.64,,,0.06871,0.05500,0.30300,0.48700,1593.99,14573.64,21.63,14552.01,0.06622,0.05500,0.30300,0.47900,584.91,0.00,,,,,,,,29147.27,21.63,14552.01,0.06746,0.05500,0.30300,0.48700,2178.90
14445.11,,,0.06929,0.05500,0.31900,0.49500,1579.93,14445.11,21.47,14423.64,0.06658,0.05500,0.31900,0.49500,579.75,0.00,,,,,,,,28890.22,21.47,14423.64,0.06793,0.05500,0.31900,0.49500,2159.69
15798.93,,,0.06330,0.05500,0.25500,0.42300,1728.01,15798.93,23.45,15775.49,0.06093,0.05500,0.24700,0.41500,634.09,0.00,,,,,,,,31597.87,23.45,15775.49,0.06211,0.05500,0.24700,0.41500,2362.09
15116.20,,,0.06626,0.05500,0.28700,0.44700,1653.33,15116.20,22.43,15093.77,0.06373,0.05500,0.27900,0.44700,606.68,0.00,,,,,,,,30232.40,22.43,15093.77,0.06500,0.05500,0.28700,0.44700,2260.02
15100.23,,,0.06624,0.05500,0.27900,0.45500,1651.59,15100.23,22.41,15077.83,0.06374,0.05500,0.27900,0.45500,606.04,0.00,,,,,,,,30200.47,22.41,15077.83,0.06499,0.05500,0.27900,0.45500,2257.63
14868.43,,,0.06722,0.05500,0.29500,0.46300,1626.23,14868.43,22.06,14846.36,0.06472,0.05500,0.28700,0.45500,596.74,0.00,,,,,,,,29736.86,22.06,14846.36,0.06597,0.05500,0.28700,0.46300,2222.97
15781.32,,,0.06335,0.05500,0.25500,0.43100,1726.08,15781.32,23.42,15757.90,0.06102,0.05500,0.24700,0.41500,633.38,0.00,,,,,,,,31562.64,23.42,15757.90,0.06219,0.05500,0.25500,0.42300,2359.46
15634.34,,,0.06409,0.05500,0.27100,0.43900,1710.01,15634.34,23.20,15611.14,0.06169,0.05500,0.26300,0.43900,627.48,0.00,,,,,,,,31268.67,23.20,15611.14,0.06289,0.05500,0.26300,0.43900,2337.49
14800.88,,,0.06750,0.05500,0.29500,0.47100,1618.85,14800.88,21.96,14778.92,0.06497,0.05500,0.28700,0.47100,594.03,0.00,,,,,,,,29601.77,21.96,14778.92,0.06623,0.05500,0.29500,0.47100,2212.88
15715.96,,,0.06384,0.05500,0.24700,0.41500,1718.93,15715.96,23.32,15692.64,0.06133,0.05500,0.23900,0.40700,630.76,0.00,,,,,,,,31431.92,23.32,15692.64,0.06258,0.05500,0.23900,0.40700,2349.69
16002.67,,,0.06261,0.05500,0.23900,0.40700,1750.29,16002.67,23.78,15978.89,0.06017,0.05500,0.23100,0.39100,642.26,0.00,,,,,,,,32005.35,23.78,15978.89,0.06139,0.05500,0.23900,0.39900,2392.56
16062.81,,,0.06220,0.05500,0.23100,0.39900,1756.87,16062.81,23.87,16038.94,0.05986,0.05500,0.23100,0.39100,644.68,0.00,,,,,,,,32125.61,23.87,16038.94,0.06103,0.05500,0.23100,0.39900,2401.55
16278.66,,,0.06161,0.05500,0.23100,0.39900,1780.48,16278.66,24.19,16254.47,0.05927,0.05500,0.22300,0.39100,653.34,0.00,,,,,,,,32557.31,24.19,16254.47,0.06044,0.05500,0.23100,0.39900,2433.82
15782.19,,,0.06353,0.05500,0.25500,0.42300,1726.18,15782.19,23.42,15758.77,0.06095,0.05500,0.24700,0.41500,633.41,0.00,,,,,,,,31564.37,23.42,15758.77,0.06224,0.05500,0.25500,0.42300,2359.59
15762.26,,,0.06340,0.05500,0.25500,0.42300,1724.00,15762.26,23.45,15738.80,0.06098,0.05500,0.24700,0.41500,632.62,0.00,,,,,,,,31524.51,23.45,15738.80,0.06219,0.05500,0.25500,0.42300,2356.61
15824.75,,,0.06318,0.05500,0.25500,0.41500,1730.83,15824.75,23.52,15801.23,0.06083,0.05500,0.24700,0.41500,635.12,0.00,,,,,,,,31649.49,23.52,15801.23,0.06200,0.05500,0.24700,0.41500,2365.96
16059.66,,,0.06231,0.05500,0.23900,0.39900,1756.53,16059.66,23.83,16035.83,0.06002,0.05500,0.23100,0.39900,644.55,0.00,,,,,,,,32119.33,23.83,16035.83,0.06116,0.05500,0.23900,0.39900,2401.08
16246.65,,,0.06156,0.05500,0.22300,0.38300,1776.98,16246.65,24.14,16222.50,0.05919,0.05500,0.22300,0.38300,652.06,0.00,,,,,,,,32493.29,24.14,16222.50,0.06037,0.05500,0.22300,0.38300,2429.03
15989.32,,,0.06291,0.06300,0.21500,0.36700,1748.83,15989.32,23.76,15965.56,0.06035,0.05500,0.20700,0.35900,641.73,0.00,,,,,,,,31978.64,23.76,15965.56,0.06163,0.05500,0.21500,0.35900,2390.56
15415.56,,,0.06487,0.05500,0.26300,0.43900,1686.08,15415.56,22.88,15392.68,0.06235,0.05500,0.26300,0.43100,618.70,0.00,,,,,,,,30831.12,22.88,15392.68,0.06361,0.05500,0.26300,0.43100,2304.78
15850.78,,,0.06311,0.05500,0.23900,0.39100,1733.68,15850.78,23.55,15827.23,0.06081,0.05500,0.23100,0.39100,636.17,0.00,,,,,,,,31701.57,23.55,15827.23,0.06196,0.05500,0.23900,0.39100,2369.85
16078.55,,,0.06221,0.05500,0.24700,0.41500,1758.59,16078.55,23.89,16054.65,0.05996,0.05500,0.23900,0.40700,645.31,0.00,,,,,,,,32157.09,23.89,16054.65,0.06109,0.05500,0.23900,0.40700,2403.90
16104.30,,,0.06223,0.05500,0.23900,0.40700,1761.41,16104.30,23.90,16080.41,0.05970,0.05500,0.23900,0.39900,646.34,0.00,,,,,,,,32208.61,23.90,16080.41,0.06096,0.05500,0.23900,0.39900,2407.75
14871.45,,,0.06727,0.05500,0.30300,0.47100,1626.56,14871.45,22.10,14849.35,0.06492,0.05500,0.29500,0.46300,596.86,0.00,,,,,,,,29742.90,22.10,14849.35,0.06610,0.05500,0.29500,0.47100,2223.43
14441.34,,,0.06908,0.05500,0.30300,0.45500,1579.52,14441.34,21.43,14419.91,0.06651,0.05500,0.29500,0.46300,579.60,0.00,,,,,,,,28882.68,21.43,14419.91,0.06779,0.05500,0.29500,0.46300,2159.12
15025.43,,,0.06668,0.06300,0.27100,0.43100,1643.41,15025.43,22.33,15003.11,0.06415,0.05500,0.26300,0.43100,603.04,0.00,,,,,,,,30050.87,22.33,15003.11,0.06541,0.05500,0.27100,0.43100,2246.45
15528.23,,,0.06441,0.05500,0.26300,0.43100,1698.40,15528.23,23.04,15505.19,0.06201,0.05500,0.25500,0.42300,623.22,0.00,,,,,,,,31056.47,23.04,15505.19,0.06321,0.05500,0.26300,0.43100,2321.62
