Sets_Ops/sec	Sets_Hits/sec	Sets_Misses/sec	Sets_Avg_Latency	Sets_p50_Latency	Sets_p99_Latency	Sets_p100_Latency	Sets_KB/sec	Gets_Ops/sec	Gets_Hits/sec	Gets_Misses/sec	Gets_Avg_Latency	Gets_p50_Latency	Gets_p99_Latency	Gets_p100_Latency	Gets_KB/sec	Waits_Ops/sec	Waits_Hits/sec	Waits_Misses/sec	Waits_Avg_Latency	Waits_p50_Latency	Waits_p99_Latency	Waits_p100_Latency	Waits_KB/sec	Totals_Ops/sec	Totals_Hits/sec	Totals_Misses/sec	Totals_Avg_Latency	Totals_p50_Latency	Totals_p99_Latency	Totals_p100_Latency	Totals_KB/sec
34060.66			0.029	3725.38	34060.66	50.55	34010.11	0.028	1200.95	0			0		68121.32	50.55	34010.11	0.028	4926.33												
33792.72			0.029	3696.08	33792.72	50.15	33742.57	0.028	1191.5	0			0		67585.45	50.15	33742.57	0.028	4887.58												
33712.96			0.029	3687.36	33712.96	50.03	33662.93	0.028	1188.69	0			0		67425.93	50.03	33662.93	0.028	4876.05												
33523.47			0.029	3666.63	33523.47	49.75	33473.72	0.028	1182.01	0			0		67046.94	49.75	33473.72	0.028	4848.64												
33377.86			0.029	3650.7	33377.86	49.53	33328.32	0.028	1176.87	0			0		66755.71	49.53	33328.32	0.029	4827.58												
33581.89			0.029	3673.02	33581.89	49.84	33532.06	0.028	1184.07	0			0		67163.79	49.84	33532.06	0.028	4857.09												
33361.51			0.029	3648.91	33361.51	49.51	33312	0.028	1176.3	0			0		66723.01	49.51	33312	0.029	4825.21												
33536.41			0.029	3668.04	33536.41	49.77	33486.64	0.028	1182.47	0			0		67072.82	49.77	33486.64	0.029	4850.51												
34217.65			0.028	3742.55	34217.65	50.78	34166.87	0.028	1206.48	0			0		68435.29	50.78	34166.87	0.028	4949.04												
33574.93			0.029	3672.26	33574.93	49.83	33525.1	0.028	1183.82	0			0		67149.85	49.83	33525.1	0.028	4856.08												
33786.53			0.029	3695.4	33786.53	50.14	33736.39	0.028	1191.28	0			0		67573.05	50.14	33736.39	0.028	4886.69												
33829.11			0.029	3700.06	33829.11	50.2	33778.91	0.028	1192.79	0			0		67658.22	50.2	33778.91	0.028	4892.84												
34356.04			0.028	3757.69	34356.04	50.98	34305.06	0.027	1211.36	0			0		68712.08	50.98	34305.06	0.028	4969.06												
33799.13			0.029	3696.78	33799.13	50.16	33748.97	0.028	1191.73	0			0		67598.26	50.16	33748.97	0.028	4888.51												
34109.38			0.029	3730.71	34109.38	50.62	34058.76	0.028	1202.67	0			0		68218.77	50.62	34058.76	0.028	4933.38												
33818.2			0.029	3698.87	33818.2	50.19	33768.01	0.028	1192.4	0			0		67636.4	50.19	33768.01	0.028	4891.27												
33954.59			0.029	3713.78	33954.59	50.39	33904.2	0.028	1197.21	0			0		67909.18	50.39	33904.2	0.028	4910.99												
33871.66			0.029	3704.71	33871.66	50.27	33821.4	0.028	1194.29	0			0		67743.32	50.27	33821.4	0.028	4899												
34050.83			0.029	3724.31	34050.83	50.53	34000.3	0.028	1200.6	0			0		68101.66	50.53	34000.3	0.028	4924.91												
32926.69			0.029	3601.36	32926.69	48.86	32877.82	0.029	1160.97	0			0		65853.37	48.86	32877.82	0.029	4762.32												
34055.03			0.029	3724.77	34055.03	50.54	34004.49	0.028	1200.75	0			0		68110.06	50.54	34004.49	0.028	4925.52												
33922.49			0.029	3710.27	33922.49	50.34	33872.14	0.028	1196.08	0			0		67844.97	50.34	33872.14	0.028	4906.35												
33422.2			0.029	3655.55	33422.2	49.6	33372.6	0.028	1178.44	0			0		66844.41	49.6	33372.6	0.029	4833.99												
33702.93			0.029	3686.26	33702.93	50.02	33652.92	0.028	1188.34	0			0		67405.87	50.02	33652.92	0.028	4874.59												
34139.29			0.029	3733.99	34139.29	50.66	34088.63	0.028	1203.72	0			0		68278.58	50.66	34088.63	0.028	4937.71												
33614.45			0.029	3676.58	33614.45	49.88	33564.56	0.028	1185.22	0			0		67228.89	49.88	33564.56	0.028	4861.8												
33998.26			0.029	3718.56	33998.26	50.45	33947.81	0.028	1198.75	0			0		67996.53	50.45	33947.81	0.028	4917.31												
33715.05			0.029	3687.58	33715.05	50.03	33665.02	0.028	1188.76	0			0		67430.1	50.03	33665.02	0.028	4876.35												
33912.18			0.029	3709.14	33912.18	50.33	33861.86	0.028	1195.71	0			0		67824.37	50.33	33861.86	0.028	4904.86												
33632.2			0.029	3678.52	33632.2	49.91	33582.29	0.028	1185.84	0			0		67264.4	49.91	33582.29	0.028	4864.36												
33166.09			0.029	3627.54	33166.09	49.22	33116.87	0.028	1169.41	0			0		66332.17	49.22	33116.87	0.029	4796.95												
33657.53			0.029	3681.29	33657.53	49.95	33607.58	0.028	1186.74	0			0		67315.06	49.95	33607.58	0.028	4868.03												
33696.09			0.029	3685.51	33696.09	50.01	33646.09	0.028	1188.1	0			0		67392.18	50.01	33646.09	0.028	4873.61												
33051.15			0.029	3614.97	33051.15	49.05	33002.11	0.028	1165.36	0			0		66102.31	49.05	33002.11	0.029	4780.33												
33960.74			0.029	3714.46	33960.74	50.4	33910.35	0.028	1197.43	0			0		67921.49	50.4	33910.35	0.028	4911.88												
32847.51			0.03	3592.7	32847.51	48.75	32798.76	0.029	1158.17	0			0		65695.01	48.75	32798.76	0.029	4750.87												
33953.18			0.029	3713.63	33953.18	50.39	33902.79	0.028	1197.16	0			0		67906.36	50.39	33902.79	0.028	4910.79												
34242.28			0.028	3745.25	34242.28	50.82	34191.46	0.027	1207.35	0			0		68484.56	50.82	34191.46	0.028	4952.6												
34019.13			0.029	3720.84	34019.13	50.48	33968.64	0.028	1199.49	0			0		68038.25	50.48	33968.64	0.028	4920.33												
33484.46			0.029	3662.36	33484.46	49.69	33434.76	0.028	1180.63	0			0		66968.91	49.69	33434.76	0.029	4843												
33516.97			0.029	3665.92	33516.97	49.74	33467.23	0.028	1181.78	0			0		67033.95	49.74	33467.23	0.029	4847.7												
33614.41			0.029	3676.58	33614.41	49.88	33564.52	0.028	1185.22	0			0		67228.82	49.88	33564.52	0.028	4861.79												
34262.04			0.028	3747.41	34262.04	50.84	34211.19	0.027	1208.05	0			0		68524.07	50.84	34211.19	0.028	4955.46												
33746.21			0.029	3690.99	33746.21	50.08	33696.13	0.028	1189.86	0			0		67492.42	50.08	33696.13	0.028	4880.85												
34005.32			0.029	3719.33	34005.32	50.46	33954.86	0.028	1199	0			0		68010.64	50.46	33954.86	0.028	4918.33												
33895.41			0.029	3707.31	33895.41	50.3	33845.11	0.028	1195.12	0			0		67790.82	50.3	33845.11	0.028	4902.43												
33905.14			0.029	3708.37	33905.14	50.32	33854.82	0.028	1195.47	0			0		67810.27	50.32	33854.82	0.028	4903.84												
33417.88			0.029	3655.08	33417.88	49.59	33368.29	0.028	1178.29	0			0		66835.77	49.59	33368.29	0.029	4833.37												
33523.49			0.029	3666.63	33523.49	49.75	33473.74	0.028	1182.01	0			0		67046.98	49.75	33473.74	0.029	4848.64												
33969.16			0.029	3715.38	33969.16	50.41	33918.75	0.028	1197.72	0			0		67938.31	50.41	33918.75	0.028	4913.1												
33959.44			0.029	3714.31	33959.44	50.4	33909.05	0.028	1197.38	0			0		67918.88	50.4	33909.05	0.028	4911.69												
33766.8			0.029	3693.24	33766.8	50.11	33716.69	0.028	1190.59	0			0		67533.6	50.11	33716.69	0.028	4883.83												
34242.15			0.028	3745.24	34242.15	50.82	34191.34	0.027	1207.35	0			0		68484.31	50.82	34191.34	0.028	4952.58												
33798.46			0.029	3696.71	33798.46	50.16	33748.3	0.028	1191.7	0			0		67596.92	50.16	33748.3	0.028	4888.41												
33650.38			0.029	3680.51	33650.38	49.94	33600.45	0.028	1186.48	0			0		67300.77	49.94	33600.45	0.028	4866.99												
34046.45			0.029	3723.83	34046.45	50.52	33995.93	0.028	1200.45	0			0		68092.9	50.52	33995.93	0.028	4924.28												
32796.48			0.03	3587.12	32796.48	48.67	32747.81	0.029	1156.38	0			0		65592.96	48.67	32747.81	0.029	4743.49												
33732.82			0.029	3689.53	33732.82	50.06	33682.76	0.028	1189.39	0			0		67465.63	50.06	33682.76	0.028	4878.92												
33427.96			0.029	3656.18	33427.96	49.61	33378.36	0.028	1178.64	0			0		66855.93	49.61	33378.36	0.029	4834.82												
34006.8			0.029	3719.49	34006.8	50.47	33956.33	0.028	1199.05	0			0		68013.59	50.47	33956.33	0.028	4918.54												
33964.09			0.029	3714.82	33964.09	50.4	33913.69	0.028	1197.54	0			0		67928.19	50.4	33913.69	0.028	4912.37												
33824.24			0.029	3699.53	33824.24	50.2	33774.04	0.028	1192.61	0			0		67648.47	50.2	33774.04	0.028	4892.14												
34230.47			0.028	3743.96	34230.47	50.8	34179.67	0.027	1206.94	0			0		68460.94	50.8	34179.67	0.028	4950.89												
33444.91			0.029	3658.04	33444.91	49.63	33395.28	0.028	1179.24	0			0		66889.82	49.63	33395.28	0.029	4837.28												
34110.29			0.029	3730.81	34110.29	50.62	34059.67	0.028	1202.7	0			0		68220.58	50.62	34059.67	0.028	4933.51												
33948.27			0.029	3713.09	33948.27	50.38	33897.89	0.028	1196.99	0			0		67896.54	50.38	33897.89	0.028	4910.08												
33431.32			0.029	3656.55	33431.32	49.61	33381.7	0.028	1178.76	0			0		66862.63	49.61	33381.7	0.029	4835.31												
33482.96			0.029	3662.2	33482.96	49.69	33433.27	0.028	1180.58	0			0		66965.91	49.69	33433.27	0.029	4842.78												
33761.92			0.029	3692.71	33761.92	50.1	33711.82	0.028	1190.42	0			0		67523.85	50.1	33711.82	0.028	4883.13												
33570.4			0.029	3671.76	33570.4	49.82	33520.58	0.028	1183.66	0			0		67140.8	49.82	33520.58	0.028	4855.43												
33323.01			0.029	3644.7	33323.01	49.45	33273.56	0.028	1174.94	0			0		66646.02	49.45	33273.56	0.029	4819.64												
33935.87			0.029	3711.74	33935.87	50.36	33885.51	0.028	1196.55	0			0		67871.74	50.36	33885.51	0.028	4908.29												
34077.28			0.028	3727.2	34077.28	50.57	34026.71	0.028	1201.54	0			0		68154.55	50.57	34026.71	0.028	4928.74												
